time,gFx,gFy,gFz,TgF
0.018629,0.9861,0.0243,0.0474,0.99
0.034311,0.9873,0.0284,0.0501,0.99
0.050177,0.9898,0.0311,0.0489,0.99
0.066243,0.9917,0.0311,0.0459,0.99
0.097480,0.9907,0.0274,0.0425,0.99
0.114378,0.9883,0.0257,0.0471,0.99
0.131121,0.9883,0.0240,0.0498,0.99
0.147295,0.9885,0.0250,0.0503,0.99
0.174455,0.9883,0.0299,0.0459,0.99
0.197176,0.9851,0.0350,0.0449,0.99
0.213963,0.9832,0.0316,0.0440,0.98
0.230630,0.9876,0.0277,0.0454,0.99
0.265187,0.9954,0.0208,0.0449,1.00
0.280282,0.9893,0.0262,0.0437,0.99
0.296929,0.9856,0.0296,0.0430,0.99
0.313448,0.9844,0.0323,0.0449,0.99
0.330383,0.9851,0.0304,0.0464,0.99
0.364856,0.9871,0.0291,0.0432,0.99
0.380075,0.9861,0.0304,0.0427,0.99
0.396691,0.9863,0.0306,0.0447,0.99
0.413530,0.9876,0.0299,0.0467,0.99
0.431096,0.9907,0.0269,0.0484,0.99
0.464474,0.9878,0.0289,0.0457,0.99
0.479783,0.9910,0.0291,0.0410,0.99
0.496462,0.9866,0.0313,0.0445,0.99
0.513087,0.9810,0.0299,0.0489,0.98
0.532571,0.9866,0.0255,0.0462,0.99
0.564496,0.9880,0.0284,0.0469,0.99
0.579743,0.9876,0.0323,0.0420,0.99
0.596217,0.9858,0.0323,0.0374,0.99
0.613880,0.9876,0.0289,0.0391,0.99
0.647566,0.9905,0.0238,0.0427,0.99
0.662667,0.9900,0.0301,0.0464,0.99
0.680854,0.9912,0.0311,0.0440,0.99
0.695943,0.9895,0.0269,0.0420,0.99
0.729194,0.9890,0.0265,0.0430,0.99
0.745654,0.9871,0.0284,0.0452,0.99
0.762527,0.9873,0.0289,0.0442,0.99
0.780344,0.9868,0.0277,0.0447,0.99
0.795697,0.9863,0.0282,0.0452,0.99
0.829268,0.9866,0.0284,0.0467,0.99
0.845448,0.9851,0.0274,0.0459,0.99
0.862047,0.9876,0.0267,0.0464,0.99
0.880568,0.9898,0.0282,0.0462,0.99
0.895999,0.9915,0.0282,0.0437,0.99
0.928653,0.9898,0.0277,0.0410,0.99
0.945147,0.9880,0.0272,0.0408,0.99
0.961829,0.9885,0.0277,0.0423,0.99
0.980356,0.9895,0.0289,0.0435,0.99
0.998798,0.9890,0.0294,0.0430,0.99
1.028353,0.9878,0.0309,0.0423,0.99
1.045002,0.9893,0.0304,0.0396,0.99
1.061630,0.9920,0.0274,0.0379,0.99
1.079903,0.9876,0.0262,0.0427,0.99
1.111663,0.9876,0.0272,0.0398,0.99
1.128299,0.9866,0.0294,0.0408,0.99
1.144860,0.9832,0.0321,0.0457,0.98
1.161496,0.9878,0.0328,0.0457,0.99
1.181218,0.9910,0.0306,0.0481,0.99
1.211290,0.9856,0.0291,0.0408,0.99
1.228222,0.9876,0.0299,0.0361,0.99
1.245527,0.9912,0.0269,0.0403,0.99
1.262311,0.9910,0.0238,0.0413,0.99
1.283511,0.9873,0.0289,0.0471,0.99
1.312631,0.9871,0.0340,0.0442,0.99
1.329370,0.9898,0.0287,0.0425,0.99
1.345578,0.9917,0.0250,0.0413,0.99
1.383458,0.9854,0.0304,0.0471,0.99
1.395962,0.9854,0.0296,0.0464,0.99
1.412617,0.9844,0.0291,0.0459,0.99
1.429517,0.9866,0.0282,0.0454,0.99
1.444987,0.9902,0.0272,0.0442,0.99
1.482303,0.9885,0.0284,0.0381,0.99
1.495716,0.9888,0.0306,0.0408,0.99
1.512262,0.9878,0.0311,0.0423,0.99
1.528957,0.9883,0.0299,0.0427,0.99
1.561249,0.9883,0.0287,0.0401,0.99
1.577841,0.9880,0.0289,0.0413,0.99
1.598266,0.9861,0.0289,0.0418,0.99
1.611990,0.9876,0.0291,0.0410,0.99
1.627440,0.9893,0.0291,0.0415,0.99
1.661266,0.9873,0.0301,0.0423,0.99
1.677958,0.9856,0.0309,0.0420,0.99
1.699158,0.9866,0.0289,0.0430,0.99
