time,gFx,gFy,gFz,TgF
0.001947,0.9927,0.0238,0.0244,0.99
0.031683,0.9954,0.0284,0.0229,1.00
0.047577,0.9898,0.0316,0.0259,0.99
0.063255,0.9810,0.0309,0.0325,0.98
0.080471,0.9812,0.0245,0.0352,0.98
0.098305,0.9910,0.0179,0.0300,0.99
0.115542,0.9915,0.0174,0.0303,0.99
0.146478,0.9905,0.0260,0.0317,0.99
0.163145,0.9873,0.0250,0.0305,0.99
0.179942,0.9885,0.0199,0.0303,0.99
0.197515,0.9878,0.0189,0.0291,0.99
0.215947,0.9898,0.0240,0.0298,0.99
0.246079,0.9929,0.0299,0.0261,0.99
0.262630,0.9929,0.0247,0.0232,0.99
0.279509,0.9910,0.0218,0.0227,0.99
0.312718,0.9863,0.0223,0.0278,0.99
0.329316,0.9915,0.0225,0.0298,0.99
0.345717,0.9929,0.0238,0.0308,0.99
0.362524,0.9912,0.0267,0.0313,0.99
0.379254,0.9866,0.0262,0.0308,0.99
0.412293,0.9839,0.0221,0.0305,0.98
0.428833,0.9883,0.0225,0.0295,0.99
0.445715,0.9915,0.0247,0.0310,0.99
0.462298,0.9917,0.0277,0.0313,0.99
0.497672,0.9885,0.0218,0.0288,0.99
0.512630,0.9846,0.0240,0.0300,0.99
0.528930,0.9846,0.0269,0.0349,0.99
0.545426,0.9888,0.0269,0.0374,0.99
0.562421,0.9954,0.0223,0.0335,1.00
0.596787,0.9898,0.0269,0.0344,0.99
0.611823,0.9873,0.0289,0.0357,0.99
0.628425,0.9858,0.0323,0.0410,0.99
0.645244,0.9868,0.0299,0.0386,0.99
0.661894,0.9885,0.0260,0.0371,0.99
0.696133,0.9866,0.0208,0.0391,0.99
0.712015,0.9880,0.0230,0.0374,0.99
0.729031,0.9910,0.0247,0.0357,0.99
0.745250,0.9871,0.0265,0.0366,0.99
0.761413,0.9876,0.0257,0.0335,0.99
0.795688,0.9976,0.0174,0.0256,1.00
0.811125,0.9893,0.0228,0.0317,0.99
0.828043,0.9858,0.0316,0.0342,0.99
0.845011,0.9844,0.0343,0.0344,0.99
0.862605,0.9856,0.0306,0.0339,0.99
0.895730,0.9836,0.0277,0.0369,0.98
0.910975,0.9829,0.0284,0.0415,0.98
