time,gFx,gFy,gFz,TgF
0.001785,0.0201,0.0463,1.0009,1.00
0.029328,0.0159,0.0492,0.9968,1.00
0.030053,0.0159,0.0492,0.9968,1.00
0.060989,0.0198,0.0519,0.9982,1.00
0.077731,0.0247,0.0514,1.0034,1.01
0.097071,0.0308,0.0477,1.0080,1.01
0.112756,0.0365,0.0416,1.0004,1.00
0.129696,0.0325,0.0377,0.9909,0.99
0.161426,0.0169,0.0494,0.9921,0.99
0.179420,0.0142,0.0526,0.9997,1.00
0.195480,0.0157,0.0472,1.0044,1.01
0.211219,0.0186,0.0428,1.0063,1.01
0.229503,0.0201,0.0406,1.0046,1.01
0.261924,0.0196,0.0423,0.9948,1.00
0.279387,0.0191,0.0431,0.9931,0.99
0.296004,0.0223,0.0438,0.9931,0.99
0.328729,0.0215,0.0463,0.9990,1.00
0.344755,0.0203,0.0472,1.0019,1.00
0.361654,0.0220,0.0458,1.0019,1.00
0.378591,0.0230,0.0445,1.0009,1.00
0.394182,0.0203,0.0409,1.0002,1.00
0.427830,0.0176,0.0445,1.0012,1.00
0.445083,0.0191,0.0458,1.0009,1.00
0.461397,0.0181,0.0448,0.9997,1.00
0.479111,0.0174,0.0470,1.0022,1.00
0.495394,0.0179,0.0470,1.0022,1.00
0.529157,0.0169,0.0455,1.0024,1.00
0.548482,0.0198,0.0477,1.0004,1.00
0.564868,0.0225,0.0499,0.9992,1.00
0.583545,0.0230,0.0514,1.0026,1.00
0.604331,0.0233,0.0492,1.0007,1.00
0.618079,0.0255,0.0529,0.9995,1.00
0.636423,0.0247,0.0590,0.9960,1.00
0.668062,0.0223,0.0519,0.9968,1.00
0.683997,0.0250,0.0492,0.9978,1.00
0.702330,0.0255,0.0458,0.9973,1.00
0.719693,0.0240,0.0441,0.9958,1.00
0.750640,0.0196,0.0499,1.0019,1.00
0.767421,0.0130,0.0499,1.0046,1.01
0.787159,0.0076,0.0485,1.0083,1.01
0.800448,0.0127,0.0470,1.0036,1.00
0.819467,0.0159,0.0546,0.9978,1.00
