time,gFx,gFy,gFz,TgF
0.014588,0.9702,0.0507,0.0775,0.97
0.031583,0.9641,0.0524,0.0738,0.97
0.048791,0.9692,0.0519,0.0699,0.97
0.069477,0.9800,0.0643,0.0743,0.98
0.097059,1.0042,0.0705,0.0951,1.01
0.113647,1.0506,0.0389,0.0892,1.06
0.131853,1.0729,-0.0043,0.0657,1.07
0.153986,1.0646,-0.0246,0.0420,1.07
0.179911,0.9917,-0.0170,0.0633,0.99
0.196499,0.9602,0.0125,0.0919,0.96
0.212755,0.9409,0.0257,0.1083,0.95
0.229568,0.9269,0.0093,0.0948,0.93
0.249056,0.9186,-0.0100,0.1092,0.93
0.279724,0.9445,-0.0273,0.1315,0.95
0.296090,0.9778,-0.0476,0.1168,0.99
0.312936,0.9937,-0.0505,0.0955,1.00
0.329983,0.9973,-0.0364,0.0726,1.00
0.371526,0.9729,0.0086,0.0894,0.98
0.371832,0.9702,0.0128,0.0924,0.97
0.396071,0.9504,0.0047,0.1090,0.96
0.412514,0.9462,-0.0151,0.1188,0.95
0.447578,0.9763,-0.0452,0.1097,0.98
0.468469,0.9968,-0.0496,0.1007,1.00
0.479205,1.0020,-0.0483,0.0995,1.01
0.495865,0.9993,-0.0464,0.1009,1.01
0.512659,0.9968,-0.0444,0.1007,1.00
0.547389,0.9978,-0.0513,0.1012,1.00
0.570694,0.9959,-0.0720,0.1131,1.00
0.579424,0.9949,-0.0755,0.1139,1.00
0.595974,0.9902,-0.0796,0.1205,1.00
0.630203,0.9836,-0.0684,0.1259,0.99
0.647575,0.9856,-0.0625,0.1212,0.99
0.662064,0.9866,-0.0503,0.1131,0.99
0.678998,0.9900,-0.0376,0.1073,1.00
0.695886,0.9922,-0.0351,0.0990,1.00
0.728995,0.9888,-0.0293,0.0921,0.99
0.747109,0.9839,-0.0212,0.0875,0.99
0.766942,0.9805,-0.0131,0.0828,0.98
0.778821,0.9768,-0.0087,0.0816,0.98
0.811851,0.9646,-0.0368,0.0936,0.97
0.828703,0.9580,-0.0486,0.1029,0.96
0.846851,0.9746,-0.0403,0.1163,0.98
0.867456,0.9858,-0.0315,0.1229,0.99
