time,gFx,gFy,gFz,TgF
0.014151,0.8587,0.0749,0.4866,0.99
0.030913,0.8600,0.0751,0.4840,0.99
0.046751,0.8609,0.0778,0.4854,0.99
0.080235,0.8556,0.0785,0.4945,0.99
0.096518,0.8573,0.0773,0.4942,0.99
0.113346,0.8585,0.0751,0.4906,0.99
0.128630,0.8597,0.0744,0.4886,0.99
0.161824,0.8587,0.0778,0.4881,0.99
0.179605,0.8568,0.0780,0.4896,0.99
0.195410,0.8575,0.0753,0.4913,0.99
0.212912,0.8582,0.0756,0.4913,0.99
0.246274,0.8587,0.0766,0.4879,0.99
0.261630,0.8582,0.0763,0.4901,0.99
0.278271,0.8558,0.0761,0.4906,0.99
0.301765,0.8580,0.0785,0.4881,0.99
0.311219,0.8592,0.0783,0.4854,0.99
0.344656,0.8590,0.0756,0.4862,0.99
0.360122,0.8551,0.0746,0.4920,0.99
0.378020,0.8543,0.0746,0.4935,0.99
0.396553,0.8600,0.0758,0.4891,0.99
0.412360,0.8634,0.0778,0.4835,0.99
0.445800,0.8543,0.0746,0.4898,0.99
0.460484,0.8558,0.0756,0.4940,0.99
0.479001,0.8585,0.0800,0.4964,0.99
0.495723,0.8595,0.0839,0.4984,1.00
0.512445,0.8580,0.0846,0.4957,0.99
0.545557,0.8551,0.0705,0.4891,0.99
0.562082,0.8558,0.0717,0.4881,0.99
0.577788,0.8565,0.0773,0.4928,0.99
0.610780,0.8553,0.0805,0.4910,0.99
0.627761,0.8558,0.0758,0.4862,0.99
0.645573,0.8560,0.0739,0.4881,0.99
0.658850,0.8578,0.0731,0.4923,0.99
0.693885,0.8582,0.0788,0.4893,0.99
0.708753,0.8590,0.0785,0.4852,0.99
0.725328,0.8556,0.0761,0.4879,0.99
0.742346,0.8548,0.0727,0.4937,0.99
0.758467,0.8560,0.0736,0.4942,0.99
0.793283,0.8580,0.0780,0.4903,0.99
0.808213,0.8582,0.0778,0.4893,0.99
0.825119,0.8575,0.0778,0.4896,0.99
0.841899,0.8573,0.0785,0.4903,0.99
0.858596,0.8556,0.0788,0.4903,0.99
0.893161,0.8558,0.0795,0.4857,0.99
0.908124,0.8580,0.0797,0.4830,0.99
0.925057,0.8590,0.0717,0.4832,0.99
0.941760,0.8558,0.0680,0.4881,0.99
0.974740,0.8514,0.0761,0.4950,0.99
0.991465,0.8526,0.0817,0.4915,0.99
1.009800,0.8578,0.0832,0.4913,0.99
1.024788,0.8597,0.0819,0.4910,0.99
1.041441,0.8607,0.0819,0.4893,0.99
1.074756,0.8597,0.0768,0.4952,1.00
1.091436,0.8558,0.0749,0.4974,0.99
1.109619,0.8497,0.0753,0.4996,0.99
1.124278,0.8502,0.0744,0.5008,0.99
1.141787,0.8558,0.0783,0.4972,0.99
1.174419,0.8624,0.0778,0.4898,0.99
1.190796,0.8587,0.0768,0.4898,0.99
1.209674,0.8546,0.0749,0.4913,0.99
1.224184,0.8543,0.0675,0.4930,0.99
1.257768,0.8558,0.0727,0.4910,0.99
1.274308,0.8556,0.0771,0.4932,0.99
1.292293,0.8548,0.0756,0.4937,0.99
1.307628,0.8551,0.0741,0.4954,0.99
