time,gFx,gFy,gFz,TgF
0.015916,0.9829,-0.0317,0.0520,0.98
0.031962,0.9878,-0.0315,0.0506,0.99
0.048254,0.9939,-0.0386,0.0542,1.00
0.066022,0.9956,-0.0547,0.0608,1.00
0.090493,0.9893,-0.0522,0.0621,0.99
0.114643,0.9939,-0.0346,0.0445,1.00
0.131316,0.9858,-0.0283,0.0423,0.99
0.166264,0.9770,-0.0329,0.0679,0.98
0.189454,0.9907,-0.0359,0.0594,0.99
0.197624,0.9954,-0.0376,0.0515,1.00
0.214615,0.9995,-0.0398,0.0479,1.00
0.247534,0.9880,-0.0427,0.0511,0.99
0.264522,0.9871,-0.0393,0.0481,0.99
0.282276,0.9932,-0.0398,0.0418,0.99
0.305957,0.9856,-0.0444,0.0523,0.99
0.314952,0.9832,-0.0449,0.0584,0.99
0.347358,0.9851,-0.0393,0.0523,0.99
0.364065,0.9890,-0.0317,0.0491,0.99
0.382343,0.9927,-0.0254,0.0464,0.99
0.400568,0.9961,-0.0185,0.0396,1.00
0.415111,0.9966,-0.0095,0.0386,1.00
0.447256,0.9895,-0.0082,0.0489,0.99
0.463839,0.9817,-0.0234,0.0555,0.98
0.481908,0.9834,-0.0349,0.0635,0.99
0.500351,0.9868,-0.0447,0.0718,0.99
0.515490,0.9846,-0.0461,0.0716,0.99
0.547059,0.9744,-0.0464,0.0804,0.98
0.563970,0.9700,-0.0398,0.0924,0.98
0.581313,0.9719,-0.0405,0.0963,0.98
0.601997,0.9802,-0.0439,0.0929,0.99
0.616761,0.9829,-0.0515,0.0887,0.99
0.646808,0.9724,-0.0525,0.0948,0.98
0.663646,0.9836,-0.0535,0.0770,0.99
0.681447,0.9949,-0.0508,0.0645,1.00
0.713553,0.9944,-0.0427,0.0567,1.00
0.730113,0.9861,-0.0393,0.0672,0.99
0.747332,0.9792,-0.0320,0.0772,0.98
0.763646,0.9722,-0.0339,0.0809,0.98
0.781664,0.9739,-0.0381,0.0753,0.98
0.800802,0.9829,-0.0351,0.0748,0.99
0.820628,0.9890,-0.0246,0.0787,0.99
0.847043,0.9770,-0.0183,0.0599,0.98
0.863941,0.9724,-0.0202,0.0667,0.97
0.881097,0.9695,-0.0214,0.0740,0.97
0.912751,0.9836,-0.0163,0.0591,0.99
0.929642,0.9942,-0.0214,0.0464,1.00
0.946474,0.9946,-0.0236,0.0405,1.00
0.962998,0.9880,-0.0256,0.0366,0.99
0.982175,0.9942,-0.0293,0.0291,1.00
1.013046,1.0147,-0.0359,0.0203,1.02
1.029347,1.0132,-0.0412,0.0198,1.01
1.046254,1.0069,-0.0434,0.0261,1.01
1.063157,1.0034,-0.0417,0.0379,1.01
1.082741,0.9993,-0.0432,0.0476,1.00
1.111152,0.9932,-0.0408,0.0621,1.00
1.129187,0.9900,-0.0354,0.0689,0.99
1.146041,0.9861,-0.0310,0.0699,0.99
1.180548,0.9778,-0.0261,0.0789,0.98
1.200596,0.9731,-0.0232,0.0797,0.98
1.212432,0.9719,-0.0217,0.0784,0.98
1.228866,0.9744,-0.0185,0.0753,0.98
1.245808,0.9773,-0.0168,0.0740,0.98
1.286961,0.9898,-0.0305,0.0652,0.99
1.287292,0.9878,-0.0310,0.0640,0.99
1.312558,0.9783,-0.0344,0.0623,0.98
1.329189,0.9819,-0.0356,0.0616,0.98
1.345917,0.9893,-0.0329,0.0613,0.99
1.389415,0.9915,-0.0354,0.0647,0.99
1.391123,0.9915,-0.0354,0.0647,0.99
1.412066,0.9893,-0.0346,0.0645,0.99
1.428858,0.9883,-0.0337,0.0633,0.99
