time,gFx,gFy,gFz,TgF
0.014965,0.9829,-0.0324,0.0660,0.99
0.035904,0.9812,-0.0356,0.0657,0.98
0.065308,0.9790,-0.0368,0.0606,0.98
0.081420,0.9873,-0.0447,0.0520,0.99
0.097102,1.0037,-0.0518,0.0357,1.01
0.114606,1.0083,-0.0552,0.0293,1.01
0.147139,1.0071,-0.0322,0.0242,1.01
0.163572,1.0037,-0.0263,0.0146,1.00
0.181385,0.9964,-0.0232,0.0090,1.00
0.197954,0.9905,-0.0261,0.0127,0.99
0.216102,0.9861,-0.0324,0.0259,0.99
0.246813,0.9849,-0.0452,0.0405,0.99
0.263421,0.9832,-0.0525,0.0423,0.99
0.281221,0.9846,-0.0540,0.0440,0.99
0.297173,0.9819,-0.0483,0.0491,0.98
0.317209,0.9849,-0.0430,0.0427,0.99
0.346840,1.0022,-0.0461,0.0308,1.00
0.363144,0.9966,-0.0452,0.0339,1.00
0.380929,0.9878,-0.0439,0.0344,0.99
0.413092,0.9790,-0.0547,0.0247,0.98
0.429774,0.9768,-0.0505,0.0203,0.98
0.446735,0.9673,-0.0398,0.0063,0.97
0.463342,0.9592,-0.0515,-0.0147,0.96
0.480792,0.9687,-0.0708,-0.0035,0.97
0.512911,1.0137,-0.0931,0.0227,1.02
0.529461,1.0149,-0.0955,0.0308,1.02
0.546267,1.0027,-0.0720,0.0305,1.01
0.562993,1.0003,-0.0557,0.0093,1.00
0.580484,0.9981,-0.0620,-0.0052,1.00
0.612746,0.9981,-0.0689,0.0300,1.00
0.629763,1.0037,-0.0645,0.0313,1.01
0.646235,1.0064,-0.0559,0.0178,1.01
0.662721,1.0025,-0.0469,0.0034,1.00
0.681565,0.9981,-0.0449,0.0027,1.00
0.713019,0.9922,-0.0601,0.0085,0.99
0.729411,0.9856,-0.0628,0.0115,0.99
0.746132,0.9858,-0.0628,0.0207,0.99
0.763841,0.9922,-0.0628,0.0212,0.99
0.797496,0.9841,-0.0591,0.0244,0.99
0.812549,0.9790,-0.0620,0.0278,0.98
0.829061,0.9812,-0.0647,0.0335,0.98
0.845670,0.9839,-0.0608,0.0315,0.99
0.880070,0.9866,-0.0581,0.0303,0.99
0.898253,0.9851,-0.0615,0.0271,0.99
0.912344,0.9854,-0.0588,0.0232,0.99
0.929120,0.9917,-0.0471,0.0176,0.99
0.945902,0.9934,-0.0395,0.0159,0.99
0.979638,0.9824,-0.0383,0.0159,0.98
0.998152,0.9814,-0.0432,0.0163,0.98
1.011913,0.9839,-0.0481,0.0132,0.99
1.028655,0.9876,-0.0532,0.0073,0.99
1.045746,0.9905,-0.0510,0.0058,0.99
1.079659,0.9924,-0.0584,0.0002,0.99
1.095145,0.9895,-0.0562,-0.0035,0.99
1.111674,0.9956,-0.0508,-0.0076,1.00
1.130502,1.0083,-0.0481,-0.0147,1.01
1.162406,0.9976,-0.0390,-0.0008,1.00
1.178669,0.9856,-0.0439,0.0097,0.99
1.196365,0.9773,-0.0454,0.0171,0.98
1.212615,0.9856,-0.0486,0.0088,0.99
1.230781,1.0020,-0.0505,-0.0000,1.00
1.261621,0.9978,-0.0442,0.0291,1.00
1.278602,0.9712,-0.0430,0.0437,0.97
1.296220,0.9580,-0.0410,0.0437,0.96
1.314228,0.9587,-0.0388,0.0479,0.96
1.331590,0.9670,-0.0405,0.0530,0.97
1.361806,0.9888,-0.0447,0.0562,0.99
1.378296,0.9976,-0.0491,0.0479,1.00
1.395792,0.9898,-0.0498,0.0481,0.99
1.417138,0.9829,-0.0488,0.0391,0.98
1.444384,0.9964,-0.0339,-0.0049,1.00
1.461392,0.9912,-0.0349,0.0058,0.99
1.477949,0.9785,-0.0510,0.0237,0.98
1.495705,0.9719,-0.0681,0.0310,0.97
1.527581,0.9792,-0.0742,0.0313,0.98
1.544543,0.9968,-0.0635,0.0166,1.00
1.561342,1.0064,-0.0542,0.0029,1.01
1.577792,1.0027,-0.0491,-0.0196,1.00
1.595831,0.9946,-0.0483,-0.0120,1.00
1.627853,0.9856,-0.0474,0.0190,0.99
1.644437,0.9917,-0.0393,0.0359,0.99
1.661208,0.9983,-0.0317,0.0430,1.00
1.678631,1.0000,-0.0312,0.0352,1.00
1.697259,0.9883,-0.0280,0.0276,0.99
1.727694,0.9849,-0.0190,0.0320,0.99
1.744034,0.9902,-0.0131,0.0364,0.99
1.760601,0.9949,-0.0100,0.0403,1.00
1.778908,0.9905,-0.0163,0.0454,0.99
1.810844,0.9814,-0.0163,0.0501,0.98
1.827357,0.9822,-0.0175,0.0513,0.98
1.844094,0.9900,-0.0256,0.0471,0.99
1.860442,0.9973,-0.0349,0.0405,1.00
1.894720,0.9851,-0.0332,0.0322,0.99
1.910184,0.9810,-0.0383,0.0398,0.98
1.927254,0.9770,-0.0312,0.0410,0.98
1.943723,0.9810,-0.0227,0.0376,0.98
1.960106,0.9927,-0.0310,0.0198,0.99
1.979154,0.9898,-0.0395,0.0166,0.99
2.010100,0.9773,-0.0371,0.0322,0.98
2.026820,0.9832,-0.0310,0.0229,0.98
2.043331,0.9934,-0.0283,0.0195,0.99
2.060174,0.9968,-0.0266,0.0317,1.00
2.093266,0.9849,-0.0415,0.0315,0.99
2.109802,0.9824,-0.0410,0.0371,0.98
2.126775,0.9858,-0.0449,0.0359,0.99
2.143390,0.9893,-0.0510,0.0317,0.99
2.177825,0.9893,-0.0557,0.0132,0.99
2.197640,0.9866,-0.0447,0.0124,0.99
2.209668,0.9858,-0.0390,0.0198,0.99
2.226324,0.9856,-0.0408,0.0203,0.99
2.243351,0.9836,-0.0437,0.0141,0.98
2.279037,0.9917,-0.0540,0.0068,0.99
2.293815,0.9878,-0.0513,0.0127,0.99
