time,gFx,gFy,gFz,TgF
0.014505,0.9829,0.0318,-0.0083,0.98
0.031586,0.9817,0.0247,-0.0105,0.98
0.047398,1.0274,0.0590,-0.0164,1.03
0.064215,1.0186,0.0695,-0.0086,1.02
0.081239,1.0257,0.0477,0.0183,1.03
0.099323,1.0448,0.0008,0.0540,1.05
0.130055,1.0088,-0.0669,0.0706,1.01
0.149166,0.9428,-0.0464,0.1051,0.95
0.163480,0.9015,-0.0004,0.1009,0.91
0.180870,0.9316,0.0203,0.0779,0.94
0.215019,0.9472,0.0309,0.0577,0.95
0.229072,0.9594,0.0216,0.0408,0.96
0.247164,1.0044,-0.0012,0.0217,1.00
0.265223,1.0428,-0.0041,0.0259,1.04
0.296652,1.0577,0.0191,0.0107,1.06
0.314739,1.0350,0.0399,0.0254,1.04
0.326665,0.9861,0.0458,0.0440,0.99
0.347650,0.9379,0.0230,0.0845,0.94
0.380770,0.9582,0.0015,0.0823,0.96
0.400054,1.0184,0.0240,0.0542,1.02
0.414144,1.0281,0.0379,0.0386,1.03
0.430233,0.9951,0.0338,0.0486,1.00
0.448444,0.9355,0.0062,0.0726,0.94
0.479436,0.9744,-0.0217,0.0647,0.98
0.497612,1.0093,-0.0268,0.0633,1.01
0.514152,1.0430,0.0032,0.0276,1.04
0.530122,1.0284,0.0162,0.0376,1.03
0.547234,0.9851,0.0052,0.0486,0.99
0.579608,0.9729,0.0120,0.0552,0.97
0.595911,1.0032,0.0128,0.0369,1.00
0.613281,1.0250,-0.0034,0.0291,1.03
0.628810,1.0286,-0.0107,0.0320,1.03
0.648485,0.9937,-0.0122,0.0508,1.00
0.679438,0.9546,-0.0043,0.0762,0.96
0.696657,0.9587,-0.0048,0.0797,0.96
0.712585,0.9758,0.0030,0.0731,0.98
0.729233,0.9748,0.0203,0.0711,0.98
0.762788,0.9924,0.0353,0.0823,1.00
0.778706,1.0100,0.0213,0.0794,1.01
0.796199,1.0245,0.0133,0.0772,1.03
0.812004,1.0105,0.0089,0.0718,1.01
0.828793,0.9822,0.0096,0.0787,0.99
0.859647,0.9467,0.0145,0.0845,0.95
0.880676,0.9477,0.0167,0.0880,0.95
0.896186,0.9663,0.0013,0.0826,0.97
0.913164,0.9736,-0.0156,0.0735,0.98
0.948550,1.0188,-0.0060,0.0640,1.02
0.961153,1.0184,0.0037,0.0574,1.02
0.978383,1.0100,0.0155,0.0667,1.01
0.995426,1.0149,0.0211,0.0542,1.02
1.027573,1.0015,0.0243,0.0599,1.00
1.044090,1.0250,0.0206,0.0645,1.03
1.064060,0.9949,0.0218,0.0528,1.00
1.077185,0.9883,0.0228,0.0525,0.99
1.094933,0.9746,0.0233,0.0555,0.98
1.128638,0.9675,0.0284,0.0748,0.97
1.144836,0.9702,0.0218,0.0841,0.97
1.162914,0.9756,0.0147,0.0836,0.98
1.177867,0.9766,0.0111,0.0821,0.98
1.211447,0.9736,0.0191,0.0811,0.98
1.226981,0.9841,0.0240,0.0718,0.99
1.243981,0.9883,0.0287,0.0596,0.99
1.263792,0.9959,0.0331,0.0542,1.00
1.295192,0.9700,0.0419,0.0611,0.97
1.311163,0.9807,0.0419,0.0687,0.98
1.327516,1.0081,0.0397,0.0601,1.01
1.344528,0.9873,0.0370,0.0537,0.99
1.362679,0.9592,0.0348,0.0611,0.96
1.393400,1.0005,0.0328,0.0625,1.00
1.412973,1.0206,0.0323,0.0567,1.02
1.426759,1.0213,0.0335,0.0545,1.02
1.444037,0.9986,0.0409,0.0559,1.00
1.464346,0.9819,0.0477,0.0726,0.99
1.495014,0.9541,0.0570,0.0887,0.96
1.511396,0.9829,0.0426,0.0899,0.99
1.527713,1.0074,0.0269,0.0797,1.01
1.543609,1.0093,0.0301,0.0792,1.01
1.562622,0.9912,0.0416,0.0797,1.00
1.595248,0.9704,0.0516,0.0731,0.97
1.613272,0.9739,0.0502,0.0652,0.98
1.627058,0.9763,0.0463,0.0625,0.98
1.662352,0.9873,0.0465,0.0594,0.99
1.675855,0.9873,0.0428,0.0599,0.99
1.693695,0.9927,0.0340,0.0579,0.99
1.710693,0.9990,0.0335,0.0567,1.00
1.726969,1.0044,0.0377,0.0601,1.01
1.761981,1.0030,0.0592,0.0665,1.01
1.776928,0.9873,0.0546,0.0638,0.99
1.793535,0.9726,0.0467,0.0743,0.98
1.810355,0.9810,0.0421,0.0787,0.99
1.844238,0.9741,0.0470,0.0794,0.98
1.862821,0.9592,0.0587,0.0765,0.96
1.876798,0.9621,0.0590,0.0745,0.97
1.896068,0.9810,0.0555,0.0721,0.99
1.911891,0.9898,0.0497,0.0674,0.99
1.942135,0.9956,0.0516,0.0760,1.00
1.962775,0.9814,0.0582,0.0726,0.99
1.976190,0.9810,0.0546,0.0701,0.98
1.993840,0.9827,0.0443,0.0679,0.99
2.012066,0.9741,0.0414,0.0694,0.98
2.043701,0.9966,0.0436,0.0655,1.00
2.060939,0.9949,0.0375,0.0694,1.00
2.075755,1.0020,0.0348,0.0704,1.01
2.091580,0.9858,0.0375,0.0662,0.99
2.125871,0.9812,0.0475,0.0711,0.98
2.142282,0.9915,0.0460,0.0706,1.00
2.163187,0.9871,0.0416,0.0643,0.99
2.177234,0.9817,0.0377,0.0628,0.98
2.193419,0.9839,0.0331,0.0655,0.99
2.225901,0.9871,0.0414,0.0816,0.99
2.242228,0.9849,0.0426,0.0794,0.99
2.261771,0.9700,0.0477,0.0713,0.97
2.293564,0.9822,0.0438,0.0701,0.99
2.309679,0.9844,0.0377,0.0760,0.99
2.325951,0.9888,0.0321,0.0775,0.99
2.340926,1.0000,0.0245,0.0762,1.00
2.361541,0.9907,0.0311,0.0672,0.99
2.395310,0.9807,0.0387,0.0735,0.98
2.411203,0.9783,0.0389,0.0794,0.98
2.426927,0.9797,0.0379,0.0828,0.98
2.441220,0.9861,0.0338,0.0806,0.99
2.461894,0.9954,0.0255,0.0784,1.00
2.493673,0.9934,0.0284,0.0779,1.00
2.510486,0.9959,0.0355,0.0672,1.00
2.530827,0.9961,0.0382,0.0616,1.00
2.548950,0.9832,0.0304,0.0628,0.99
2.564487,0.9695,0.0370,0.0740,0.97
2.597910,0.9807,0.0350,0.0731,0.98
2.614426,0.9880,0.0326,0.0647,0.99
2.631230,1.0032,0.0243,0.0621,1.01
2.648823,0.9964,0.0243,0.0618,1.00
2.664259,0.9858,0.0323,0.0640,0.99
2.697728,0.9766,0.0411,0.0669,0.98
2.714221,0.9863,0.0401,0.0721,0.99
2.731131,0.9946,0.0379,0.0735,1.00
2.750369,0.9898,0.0370,0.0753,0.99
2.764557,0.9846,0.0377,0.0762,0.99
2.797281,0.9805,0.0335,0.0767,0.98
2.814060,0.9795,0.0309,0.0750,0.98
2.830896,0.9763,0.0326,0.0762,0.98
2.848438,0.9883,0.0282,0.0713,0.99
2.865167,0.9959,0.0225,0.0655,1.00
2.897130,0.9912,0.0243,0.0635,0.99
2.913999,0.9912,0.0255,0.0662,0.99
2.930408,0.9878,0.0313,0.0696,0.99
2.948108,0.9829,0.0335,0.0709,0.99
2.966060,0.9885,0.0262,0.0735,0.99
2.997062,0.9871,0.0272,0.0753,0.99
3.014437,0.9846,0.0323,0.0731,0.99
3.030083,0.9861,0.0362,0.0713,0.99
3.047838,0.9851,0.0372,0.0704,0.99
3.079936,0.9929,0.0245,0.0679,1.00
3.096767,0.9922,0.0213,0.0696,0.99
3.113537,0.9876,0.0252,0.0745,0.99
3.129911,0.9858,0.0328,0.0733,0.99
3.149433,0.9841,0.0375,0.0699,0.99
3.179717,0.9824,0.0348,0.0782,0.99
3.196407,0.9812,0.0287,0.0828,0.99
3.213275,0.9814,0.0250,0.0882,0.99
3.247337,0.9858,0.0345,0.0794,0.99
3.264269,0.9854,0.0389,0.0731,0.99
3.279592,0.9827,0.0389,0.0699,0.99
3.296305,0.9844,0.0387,0.0709,0.99
3.313076,0.9868,0.0350,0.0735,0.99
3.347010,0.9868,0.0274,0.0772,0.99
3.362649,0.9868,0.0277,0.0794,0.99
3.379503,0.9836,0.0299,0.0792,0.99
3.395936,0.9846,0.0323,0.0787,0.99
3.412787,0.9868,0.0345,0.0787,0.99
3.432188,0.9866,0.0345,0.0767,0.99
3.462426,0.9841,0.0299,0.0816,0.99
3.479173,0.9868,0.0262,0.0816,0.99
3.495902,0.9880,0.0245,0.0801,0.99
3.528956,0.9841,0.0311,0.0799,0.99
3.546532,0.9849,0.0362,0.0782,0.99
3.562423,0.9885,0.0382,0.0753,0.99
3.578811,0.9883,0.0414,0.0723,0.99
3.595770,0.9858,0.0389,0.0728,0.99
3.629669,0.9858,0.0353,0.0723,0.99
3.645279,0.9895,0.0365,0.0706,0.99
3.661928,0.9883,0.0360,0.0716,0.99
3.678553,0.9797,0.0333,0.0782,0.98
3.698931,0.9810,0.0274,0.0784,0.98
3.729407,0.9902,0.0257,0.0794,0.99
3.744993,0.9861,0.0321,0.0804,0.99
3.761734,0.9829,0.0370,0.0757,0.99
3.779105,0.9775,0.0362,0.0767,0.98
3.811632,0.9890,0.0257,0.0760,0.99
3.828286,0.9856,0.0318,0.0740,0.99
3.845904,0.9839,0.0379,0.0723,0.99
3.861495,0.9866,0.0384,0.0716,0.99
3.894901,0.9924,0.0299,0.0743,1.00
3.911476,0.9866,0.0291,0.0745,0.99
3.928253,0.9827,0.0328,0.0755,0.99
