time,gFx,gFy,gFz,TgF
0.014730,0.9856,-0.0760,0.0379,0.99
0.034409,0.9907,-0.0784,0.0427,0.99
0.062519,0.9883,-0.0782,0.0396,0.99
0.078903,0.9863,-0.0782,0.0410,0.99
0.097153,0.9834,-0.0804,0.0452,0.99
0.125517,0.9778,-0.0794,0.0572,0.98
0.130523,0.9783,-0.0764,0.0584,0.98
0.162173,0.9932,-0.0813,0.0574,1.00
0.180430,0.9856,-0.0818,0.0550,0.99
0.196972,0.9736,-0.0745,0.0591,0.98
0.212134,0.9692,-0.0706,0.0616,0.97
0.245073,0.9966,-0.0833,0.0599,1.00
0.262027,1.0008,-0.0894,0.0523,1.01
0.279816,0.9932,-0.0914,0.0401,1.00
0.315261,0.9841,-0.0828,0.0476,0.99
0.328301,0.9797,-0.0804,0.0564,0.98
0.344925,0.9788,-0.0786,0.0584,0.98
0.361789,0.9807,-0.0799,0.0596,0.99
0.396194,0.9866,-0.0762,0.0545,0.99
0.414397,0.9890,-0.0720,0.0596,0.99
0.428195,1.0012,-0.0701,0.0660,1.01
0.444850,0.9922,-0.0701,0.0706,1.00
0.461527,0.9717,-0.0735,0.0704,0.98
0.496022,0.9788,-0.0865,0.0716,0.99
0.513930,0.9861,-0.0735,0.0684,0.99
0.527938,0.9898,-0.0720,0.0687,0.99
0.545482,0.9907,-0.0789,0.0643,1.00
0.580172,0.9763,-0.0926,0.0606,0.98
0.594533,0.9773,-0.0928,0.0613,0.98
0.612727,0.9934,-0.0830,0.0650,1.00
0.630261,0.9986,-0.0826,0.0555,1.00
0.644439,0.9937,-0.0804,0.0413,1.00
0.677859,0.9709,-0.0686,0.0709,0.98
0.694385,0.9636,-0.0720,0.0726,0.97
0.712497,0.9714,-0.0764,0.0669,0.98
0.730813,0.9844,-0.0789,0.0669,0.99
0.744406,0.9898,-0.0850,0.0630,1.00
0.777775,0.9780,-0.0921,0.0606,0.98
0.794238,0.9839,-0.1028,0.0535,0.99
0.812390,0.9937,-0.1124,0.0542,1.00
0.832642,1.0108,-0.1292,0.0520,1.02
0.844576,1.0064,-0.1256,0.0457,1.02
0.877681,0.9792,-0.0933,0.0244,0.98
0.894105,0.9773,-0.0843,0.0364,0.98
0.912200,0.9905,-0.0918,0.0623,1.00
0.930898,0.9834,-0.1041,0.0354,0.99
0.945838,0.9546,-0.1200,-0.0159,0.96
0.977551,0.9260,-0.0852,-0.0083,0.93
0.994068,0.9355,-0.0588,0.0014,0.94
1.011949,0.9326,-0.0508,0.0031,0.93
1.028122,0.9225,-0.0505,0.0149,0.92
1.047591,0.9216,-0.0603,0.0281,0.92
1.077358,0.9910,-0.1236,0.0423,1.00
1.093676,1.0460,-0.1407,0.0144,1.06
1.112064,1.0298,-0.0994,-0.0093,1.03
1.131583,0.9744,-0.0307,-0.0215,0.98
1.160374,0.9379,0.0565,0.0119,0.94
1.176985,0.9766,0.0607,0.0706,0.98
1.193711,1.0369,-0.0092,0.1615,1.05
1.211779,1.0746,-0.0791,0.2168,1.10
