time,gFx,gFy,gFz,TgF
0.009184,0.9832,-0.0606,0.0403,0.99
0.020771,0.9839,-0.0610,0.0379,0.99
0.037144,0.9856,-0.0606,0.0352,0.99
0.054262,0.9866,-0.0571,0.0364,0.99
0.069464,0.9844,-0.0601,0.0379,0.99
0.093602,0.9812,-0.0696,0.0354,0.98
0.120018,0.9942,-0.0701,0.0300,1.00
0.134629,0.9973,-0.0650,0.0310,1.00
0.151442,0.9929,-0.0615,0.0317,1.00
0.181526,0.9807,-0.0576,0.0374,0.98
0.200237,0.9783,-0.0630,0.0388,0.98
0.214426,0.9829,-0.0679,0.0361,0.99
0.237740,0.9863,-0.0703,0.0369,0.99
0.258227,0.9924,-0.0745,0.0401,1.00
0.286132,0.9922,-0.0613,0.0295,0.99
0.311506,0.9846,-0.0632,0.0261,0.99
0.325794,0.9841,-0.0650,0.0427,0.99
0.335943,0.9861,-0.0664,0.0486,0.99
0.355348,0.9880,-0.0676,0.0503,0.99
0.389242,0.9922,-0.0571,0.0374,0.99
0.409883,0.9871,-0.0650,0.0410,0.99
0.425158,0.9797,-0.0708,0.0447,0.98
0.446072,0.9827,-0.0733,0.0445,0.99
0.464787,0.9924,-0.0720,0.0423,1.00
0.505613,0.9912,-0.0703,0.0364,0.99
0.505902,0.9912,-0.0703,0.0364,0.99
0.544882,0.9844,-0.0818,0.0430,0.99
0.545192,0.9844,-0.0818,0.0430,0.99
0.567847,0.9895,-0.0921,0.0415,0.99
0.583220,0.9937,-0.0872,0.0347,1.00
0.613396,0.9871,-0.0593,0.0271,0.99
0.630899,0.9822,-0.0642,0.0313,0.98
0.649425,0.9827,-0.0784,0.0349,0.99
0.675499,0.9949,-0.0921,0.0369,1.00
0.694997,0.9917,-0.0852,0.0442,1.00
0.713432,0.9797,-0.0823,0.0550,0.98
0.740003,0.9704,-0.0867,0.0530,0.98
0.748744,0.9704,-0.0855,0.0501,0.98
0.774265,0.9832,-0.0848,0.0354,0.99
0.785069,0.9898,-0.0870,0.0298,0.99
0.813348,0.9937,-0.0789,0.0303,1.00
0.830448,0.9861,-0.0720,0.0391,0.99
0.854846,0.9741,-0.0728,0.0459,0.98
0.864113,0.9709,-0.0735,0.0445,0.97
0.896699,0.9758,-0.0725,0.0423,0.98
0.913387,0.9900,-0.0786,0.0357,0.99
0.929634,1.0037,-0.0816,0.0234,1.01
0.950004,0.9893,-0.0777,0.0303,0.99
0.980843,0.9668,-0.0852,0.0420,0.97
0.999264,0.9663,-0.0764,0.0298,0.97
1.013607,0.9719,-0.0723,0.0071,0.97
1.049941,0.9590,-0.0271,-0.0607,0.96
1.050259,0.9590,-0.0271,-0.0607,0.96
1.079486,0.9436,0.0049,-0.0873,0.95
1.096280,0.9289,0.0262,-0.1054,0.94
1.112475,0.9477,0.0328,-0.0286,0.95
1.148367,1.0577,-0.0156,0.0572,1.06
1.163265,1.0817,-0.0483,0.0005,1.08
1.180340,1.0582,-0.0723,-0.0355,1.06
1.204560,0.9978,-0.0527,0.0200,1.00
1.235734,0.9763,0.0384,0.1009,0.98
