time,gFx,gFy,gFz,TgF
0.001763,0.9876,-0.0645,0.0518,0.99
0.031043,0.9895,-0.0632,0.0484,0.99
0.046808,0.9883,-0.0635,0.0501,0.99
0.064788,0.9873,-0.0650,0.0513,0.99
0.082913,0.9866,-0.0664,0.0511,0.99
0.113194,0.9858,-0.0672,0.0537,0.99
0.129967,0.9858,-0.0640,0.0542,0.99
0.146281,0.9876,-0.0630,0.0520,0.99
0.164542,0.9880,-0.0620,0.0486,0.99
0.181954,0.9839,-0.0618,0.0469,0.99
0.212841,0.9822,-0.0593,0.0559,0.99
0.229782,0.9856,-0.0503,0.0479,0.99
0.246467,0.9880,-0.0476,0.0462,0.99
0.264241,0.9888,-0.0540,0.0476,0.99
0.282504,0.9866,-0.0598,0.0520,0.99
0.312739,0.9871,-0.0552,0.0533,0.99
0.329362,0.9839,-0.0547,0.0525,0.99
0.346078,0.9841,-0.0549,0.0557,0.99
0.364148,0.9841,-0.0588,0.0550,0.99
0.383105,0.9878,-0.0586,0.0523,0.99
0.412422,0.9856,-0.0618,0.0537,0.99
0.429329,0.9819,-0.0613,0.0542,0.99
0.447467,0.9827,-0.0598,0.0484,0.99
0.479211,0.9883,-0.0518,0.0335,0.99
0.496836,0.9858,-0.0488,0.0396,0.99
0.512383,0.9873,-0.0508,0.0491,0.99
0.529059,0.9866,-0.0562,0.0481,0.99
0.551182,0.9849,-0.0591,0.0476,0.99
0.568259,0.9861,-0.0603,0.0491,0.99
0.595750,0.9905,-0.0581,0.0454,0.99
0.612242,0.9924,-0.0613,0.0413,1.00
0.628956,0.9900,-0.0674,0.0486,0.99
0.647107,0.9878,-0.0711,0.0572,0.99
0.670001,0.9841,-0.0791,0.0533,0.99
0.695383,0.9868,-0.0711,0.0586,0.99
0.712002,0.9824,-0.0552,0.0591,0.99
0.728913,0.9795,-0.0398,0.0493,0.98
0.762165,0.9854,-0.0417,0.0403,0.99
0.778588,0.9814,-0.0449,0.0442,0.98
0.795262,0.9846,-0.0498,0.0454,0.99
0.811769,0.9917,-0.0581,0.0386,0.99
0.828774,0.9990,-0.0564,0.0366,1.00
0.863243,0.9819,-0.0588,0.0447,0.98
0.879618,0.9841,-0.0681,0.0503,0.99
0.895030,0.9900,-0.0757,0.0491,0.99
