time,gFx,gFy,gFz,TgF
0.016447,0.9937,-0.0444,0.0486,1.00
0.043356,0.9929,-0.0508,0.0481,1.00
0.050029,0.9890,-0.0540,0.0537,0.99
0.082775,0.9851,-0.0586,0.0569,0.99
0.097569,0.9866,-0.0598,0.0555,0.99
0.113717,0.9898,-0.0606,0.0520,0.99
0.135057,0.9893,-0.0540,0.0555,0.99
0.165876,0.9844,-0.0478,0.0635,0.99
0.181248,0.9800,-0.0525,0.0628,0.98
0.197167,0.9814,-0.0569,0.0601,0.98
0.216106,0.9854,-0.0579,0.0567,0.99
0.231537,0.9885,-0.0564,0.0572,0.99
0.258009,0.9856,-0.0571,0.0574,0.99
0.286067,0.9861,-0.0593,0.0550,0.99
0.297728,0.9871,-0.0586,0.0555,0.99
0.314325,0.9871,-0.0620,0.0616,0.99
0.335792,0.9922,-0.0703,0.0645,1.00
0.367707,0.9878,-0.0696,0.0601,0.99
0.381088,0.9890,-0.0696,0.0562,0.99
0.397102,0.9910,-0.0718,0.0572,1.00
0.420492,0.9778,-0.0684,0.0699,0.98
0.448079,0.9802,-0.0711,0.0674,0.99
0.464852,0.9868,-0.0774,0.0603,0.99
0.479774,0.9841,-0.0782,0.0596,0.99
0.496065,0.9863,-0.0818,0.0572,0.99
0.530969,0.9846,-0.0818,0.0501,0.99
0.548799,0.9849,-0.0801,0.0454,0.99
0.565783,0.9812,-0.0669,0.0462,0.98
0.581688,0.9822,-0.0657,0.0454,0.99
0.610849,0.9841,-0.0782,0.0391,0.99
0.645004,0.9878,-0.0840,0.0586,0.99
0.645816,0.9883,-0.0830,0.0581,0.99
0.664313,0.9883,-0.0772,0.0535,0.99
0.681754,0.9876,-0.0706,0.0523,0.99
0.701103,0.9910,-0.0733,0.0542,1.00
0.729710,0.9876,-0.0845,0.0515,0.99
0.747258,0.9910,-0.0796,0.0489,1.00
0.764802,0.9973,-0.0745,0.0449,1.00
0.782433,1.0017,-0.0735,0.0415,1.01
0.812279,1.0008,-0.0652,0.0313,1.00
0.829118,0.9993,-0.0581,0.0330,1.00
0.845778,0.9951,-0.0584,0.0420,1.00
0.867087,0.9822,-0.0606,0.0625,0.99
0.896923,0.9873,-0.0730,0.0523,0.99
0.911946,0.9910,-0.0762,0.0445,0.99
0.928970,0.9890,-0.0747,0.0403,0.99
0.945849,0.9827,-0.0642,0.0533,0.99
0.963851,0.9748,-0.0554,0.0611,0.98
0.995540,0.9692,-0.0498,0.0567,0.97
1.012697,0.9663,-0.0491,0.0459,0.97
1.028956,0.9656,-0.0505,0.0574,0.97
1.046135,0.9590,-0.0486,0.0775,0.96
1.064100,0.9614,-0.0439,0.0721,0.97
1.083469,0.9717,-0.0337,0.0599,0.97
1.114014,0.9902,-0.0354,0.0530,0.99
1.128272,0.9885,-0.0437,0.0506,0.99
1.145255,0.9795,-0.0493,0.0449,0.98
1.163989,0.9761,-0.0515,0.0452,0.98
1.195473,0.9978,-0.0532,0.0374,1.00
1.223288,0.9971,-0.0608,0.0349,1.00
1.229620,0.9942,-0.0615,0.0327,1.00
1.246653,0.9858,-0.0581,0.0256,0.99
1.265476,0.9846,-0.0474,0.0239,0.99
1.296344,0.9988,-0.0456,0.0088,1.00
1.311398,0.9971,-0.0584,0.0039,1.00
1.328024,0.9929,-0.0608,0.0034,0.99
1.363142,0.9819,-0.0491,-0.0015,0.98
1.377876,0.9758,-0.0535,0.0102,0.98
1.394600,0.9824,-0.0564,0.0159,0.98
1.413277,0.9932,-0.0586,0.0159,1.00
1.427887,1.0025,-0.0632,0.0034,1.00
1.446679,0.9949,-0.0716,-0.0025,1.00
1.478770,0.9614,-0.0632,0.0112,0.96
1.497915,0.9726,-0.0564,0.0068,0.97
1.519133,0.9888,-0.0579,-0.0022,0.99
1.548205,0.9905,-0.0574,-0.0206,0.99
1.562111,0.9932,-0.0471,-0.0362,0.99
1.577616,0.9929,-0.0354,-0.0475,0.99
1.594344,0.9910,-0.0315,-0.0570,0.99
1.616020,0.9905,-0.0283,-0.0690,0.99
1.646750,0.9704,0.0025,-0.0721,0.97
1.660875,0.9668,0.0282,-0.0765,0.97
1.677344,0.9768,0.0487,-0.0824,0.98
1.694403,0.9856,0.0658,-0.0682,0.99
1.713136,1.0144,0.0448,-0.0064,1.02
1.746568,1.0555,-0.0302,-0.0543,1.06
1.761250,0.9986,0.0020,-0.0758,1.00
1.779632,0.9399,0.0421,-0.0839,0.94
1.795447,0.9125,0.0695,-0.0709,0.92
1.827202,0.9624,0.0947,-0.0277,0.97
1.845205,1.0061,0.0788,-0.0548,1.01
1.863097,1.0330,0.0802,-0.1161,1.04
1.877759,1.0323,0.0724,-0.1222,1.04
1.895005,1.0369,0.0384,-0.1051,1.04
1.927034,1.0130,0.0096,-0.0511,1.01
1.943930,0.9929,0.0230,-0.0519,0.99
1.962601,0.9810,0.0472,-0.0492,0.98
1.977240,0.9717,0.0785,-0.0428,0.98
1.995756,0.9778,0.0817,-0.0514,0.98
2.026812,0.9841,0.0629,-0.0839,0.99
2.053433,0.9643,0.0956,-0.0812,0.97
2.067794,0.9572,0.1003,-0.0870,0.97
2.093335,0.9653,0.1218,-0.0971,0.98
2.110287,0.9607,0.1340,-0.1017,0.98
2.127319,0.9568,0.1443,-0.1127,0.97
2.146553,0.9450,0.1523,-0.1193,0.96
2.176943,0.9590,0.1401,-0.1262,0.98
2.193750,0.9536,0.1303,-0.1330,0.97
2.212235,0.9590,0.1228,-0.1386,0.98
2.227211,0.9729,0.1069,-0.1408,0.99
2.273714,0.9695,0.1091,-0.1208,0.98
2.274016,0.9695,0.1091,-0.1208,0.98
2.291393,0.9467,0.1374,-0.1115,0.96
2.317197,0.9443,0.1580,-0.1100,0.96
2.341694,0.9621,0.1022,-0.1340,0.98
2.361874,0.9634,0.0817,-0.1636,0.98
2.376471,0.9638,0.0827,-0.2154,0.99
2.392965,0.9744,0.1140,-0.2806,1.02
