time,gFx,gFy,gFz,TgF
0.001662,0.8392,0.0753,0.5245,0.99
0.014797,0.8353,0.0729,0.5055,0.98
0.030427,0.8402,0.0700,0.4923,0.98
0.046336,0.8509,0.0736,0.4920,0.99
0.080594,0.8590,0.0778,0.4991,1.00
0.097007,0.8536,0.0746,0.4994,0.99
0.112696,0.8548,0.0714,0.4959,0.99
0.129462,0.8480,0.0705,0.4996,0.99
0.151208,0.8428,0.0675,0.5108,0.99
0.181607,0.8590,0.0697,0.5055,1.00
0.195661,0.8590,0.0687,0.5025,1.00
0.212443,0.8560,0.0702,0.5035,1.00
0.229653,0.8519,0.0695,0.5030,0.99
0.262531,0.8409,0.0607,0.5123,0.99
0.279268,0.8380,0.0636,0.5135,0.98
0.297208,0.8450,0.0785,0.5057,0.99
0.312244,0.8521,0.0873,0.4981,0.99
0.331958,0.8536,0.0839,0.4920,0.99
0.362100,0.8514,0.0687,0.4994,0.99
0.379117,0.8468,0.0709,0.5042,0.99
0.396422,0.8458,0.0751,0.5055,0.99
0.413834,0.8463,0.0785,0.5050,0.99
0.445363,0.8521,0.0749,0.5050,0.99
0.461925,0.8504,0.0714,0.5077,0.99
0.478763,0.8482,0.0700,0.5101,0.99
0.496271,0.8460,0.0687,0.5101,0.99
0.528395,0.8453,0.0709,0.5111,0.99
0.545104,0.8470,0.0729,0.5104,0.99
0.561827,0.8480,0.0729,0.5074,0.99
0.578546,0.8477,0.0717,0.5089,0.99
0.596736,0.8431,0.0683,0.5069,0.99
0.628241,0.8450,0.0683,0.5135,0.99
0.644892,0.8485,0.0700,0.5148,0.99
0.661837,0.8494,0.0724,0.5116,0.99
0.678082,0.8485,0.0729,0.5042,0.99
0.697765,0.8512,0.0749,0.4976,0.99
0.728195,0.8512,0.0768,0.5013,0.99
0.744924,0.8485,0.0771,0.5045,0.99
0.761413,0.8463,0.0739,0.5072,0.99
0.795924,0.8472,0.0668,0.5089,0.99
0.811796,0.8480,0.0663,0.5091,0.99
0.829027,0.8480,0.0705,0.5101,0.99
0.845551,0.8470,0.0741,0.5069,0.99
0.862906,0.8428,0.0709,0.5089,0.99
0.898183,0.8514,0.0658,0.5082,0.99
0.911565,0.8553,0.0700,0.5045,1.00
0.928703,0.8534,0.0736,0.5042,0.99
0.944978,0.8490,0.0736,0.5050,0.99
0.963714,0.8441,0.0690,0.5040,0.99
0.997850,0.8480,0.0687,0.5062,0.99
1.011524,0.8507,0.0724,0.5057,0.99
1.028071,0.8499,0.0741,0.5050,0.99
1.045150,0.8468,0.0744,0.5064,0.99
1.078338,0.8475,0.0705,0.5077,0.99
