time,gFx,gFy,gFz,TgF
0.010915,1.0181,-0.0723,0.0027,1.02
0.026496,0.9920,-0.0664,0.0049,0.99
0.057907,0.9731,-0.0852,0.0244,0.98
0.074265,0.9993,-0.1219,0.0058,1.01
0.093391,1.0022,-0.1344,-0.0093,1.01
0.108427,0.9653,-0.1214,0.0046,0.97
0.124435,0.9506,-0.1031,0.0525,0.96
0.158174,0.9455,-0.0344,0.0875,0.95
0.174623,0.9998,0.0245,0.0491,1.00
0.205601,0.9822,-0.0246,0.0278,0.98
0.207745,0.9895,-0.0427,0.0305,0.99
0.227385,1.0100,-0.1033,0.0051,1.02
0.258062,1.0184,-0.1136,-0.0110,1.02
0.273904,1.0069,-0.1138,-0.0223,1.01
0.296988,1.0254,-0.0958,-0.0389,1.03
0.307879,1.0247,-0.0818,-0.0372,1.03
0.340063,0.9907,-0.0635,-0.0086,0.99
0.358279,0.9726,-0.0571,0.0058,0.97
0.374360,0.9678,-0.0588,0.0127,0.97
0.393487,0.9717,-0.0789,0.0383,0.98
0.409936,0.9824,-0.0892,0.0569,0.99
0.429300,0.9736,-0.1119,0.0924,0.98
0.460759,0.9575,-0.1600,0.1014,0.98
0.473162,0.9719,-0.1627,0.0850,0.99
0.497323,0.9704,-0.1698,0.0621,0.99
0.523111,0.9572,-0.2170,0.0503,0.98
0.540572,0.9795,-0.2023,0.0344,1.00
0.557109,0.9785,-0.1747,0.0115,0.99
0.572944,0.9739,-0.1840,0.0352,0.99
0.592783,0.9775,-0.1982,0.0762,1.00
0.623036,1.0012,-0.1671,0.0806,1.02
0.639368,1.0076,-0.1138,0.0799,1.02
0.656332,1.0242,-0.0948,0.0801,1.03
0.673681,0.9890,-0.1138,0.0787,1.00
0.706230,0.9186,-0.1659,0.1205,0.94
0.722646,0.9423,-0.2234,0.1256,0.98
0.739106,0.9599,-0.2867,0.1381,1.01
0.768922,0.9920,-0.2669,0.1256,1.03
0.791572,0.9704,-0.1977,0.0828,0.99
0.805708,0.9668,-0.1950,0.0882,0.99
0.822727,0.9563,-0.2099,0.1036,0.98
0.839563,0.9291,-0.1923,0.1061,0.95
0.858319,0.9074,-0.1708,0.1127,0.93
0.890669,0.9076,-0.1972,0.1603,0.94
0.906244,0.9267,-0.2234,0.1625,0.97
0.922456,0.9477,-0.2461,0.1349,0.99
0.938888,0.9345,-0.2304,0.1222,0.97
0.972223,0.9142,-0.1862,0.1865,0.95
0.992397,0.9306,-0.1901,0.2165,0.97
1.005563,0.9340,-0.1872,0.2222,0.98
1.022042,0.9477,-0.1979,0.2317,1.00
1.044121,0.9555,-0.2214,0.2449,1.01
1.072737,0.9658,-0.2126,0.2376,1.02
1.088460,0.9702,-0.2204,0.2183,1.02
1.111149,0.9739,-0.2234,0.1877,1.02
1.126748,0.9849,-0.2344,0.1774,1.03
1.141845,0.9924,-0.2324,0.1681,1.03
1.164393,1.0015,-0.2084,0.1745,1.04
1.190452,0.9736,-0.2094,0.1850,1.01
1.205023,0.9624,-0.2143,0.1826,1.00
1.222643,0.9678,-0.2031,0.1791,1.00
1.255141,0.9472,-0.1718,0.2073,0.98
1.274385,0.9262,-0.1710,0.1982,0.96
1.293602,0.9279,-0.1798,0.1960,0.97
1.304868,0.9299,-0.1754,0.1840,0.96
1.339604,0.9458,-0.1801,0.1532,0.97
1.354807,0.9612,-0.1950,0.1576,0.99
1.371533,0.9646,-0.2058,0.1743,1.00
1.390521,0.9443,-0.1938,0.2129,0.99
1.406467,0.9416,-0.2062,0.2146,0.99
1.438762,0.9751,-0.2586,0.1845,1.03
1.454686,0.9585,-0.2485,0.1960,1.01
1.471622,0.9575,-0.2317,0.1948,1.00
1.490453,0.9629,-0.2177,0.2126,1.01
1.508156,0.9775,-0.2304,0.1901,1.02
1.538254,1.0025,-0.2586,0.1843,1.05
1.554797,0.9868,-0.2146,0.1598,1.02
1.572173,0.9355,-0.1869,0.1547,0.97
1.606086,0.9396,-0.2466,0.1332,0.98
1.621298,0.9658,-0.2422,0.1144,1.00
1.638210,0.9802,-0.2018,0.1019,1.01
1.655676,0.9521,-0.1615,0.1041,0.97
1.689563,0.9125,-0.1901,0.1039,0.94
1.704251,0.9301,-0.2219,0.0955,0.96
1.720914,0.9382,-0.2436,0.0941,0.97
1.738222,0.9587,-0.2586,0.0723,1.00
1.754486,0.9333,-0.2693,0.0816,0.97
1.790224,0.8888,-0.2923,0.1437,0.95
1.803947,0.9575,-0.2625,0.1092,1.00
1.820588,1.0682,-0.2133,0.0833,1.09
1.838205,1.1961,-0.1517,0.0647,1.21
1.855590,1.2017,0.0475,0.0951,1.21
1.887527,0.8553,0.0443,0.0711,0.86
1.906732,0.7407,-0.1288,0.1051,0.76
1.921632,0.7720,-0.2131,0.1261,0.81
1.938072,0.9120,-0.2097,0.0938,0.94
1.957238,1.0301,-0.1718,0.0547,1.05
1.988203,1.0998,-0.0437,0.0435,1.10
