time,gFx,gFy,gFz,TgF
0.003279,0.9873,-0.0720,0.0633,0.99
0.036651,0.9871,-0.0703,0.0706,0.99
0.037554,0.9871,-0.0703,0.0706,0.99
0.059904,0.9910,-0.0769,0.0770,1.00
0.075842,0.9868,-0.0782,0.0787,0.99
0.093148,0.9832,-0.0774,0.0794,0.99
0.127381,0.9827,-0.0730,0.0792,0.99
0.142381,0.9861,-0.0708,0.0779,0.99
0.159495,0.9844,-0.0672,0.0797,0.99
0.175401,0.9824,-0.0684,0.0811,0.99
0.210758,0.9719,-0.0760,0.0877,0.98
0.225359,0.9731,-0.0774,0.0914,0.98
0.242201,0.9773,-0.0782,0.0909,0.98
0.259690,0.9790,-0.0755,0.0914,0.99
0.275137,0.9819,-0.0725,0.0899,0.99
0.311379,0.9753,-0.0745,0.0911,0.98
0.329268,0.9726,-0.0808,0.0943,0.98
0.353677,0.9846,-0.0950,0.0941,0.99
0.363512,0.9876,-0.0940,0.0914,1.00
0.375614,0.9883,-0.0901,0.0821,1.00
0.410335,0.9726,-0.0945,0.0833,0.98
0.425070,0.9780,-0.0965,0.0848,0.99
0.441730,0.9900,-0.0933,0.0743,1.00
0.472031,0.9981,-0.0833,0.0613,1.00
0.475898,0.9946,-0.0828,0.0640,1.00
0.510580,0.9763,-0.1002,0.0735,0.98
0.525078,0.9814,-0.1136,0.0633,0.99
0.544387,0.9827,-0.1185,0.0601,0.99
0.559114,0.9792,-0.1036,0.0660,0.99
0.577146,0.9827,-0.0884,0.0728,0.99
0.608879,0.9954,-0.0870,0.0611,1.00
0.641140,0.9827,-0.0870,0.0733,0.99
0.641439,0.9827,-0.0870,0.0733,0.99
0.659239,0.9858,-0.0848,0.0794,0.99
0.678285,0.9993,-0.0799,0.0836,1.01
0.701606,1.0017,-0.0848,0.0826,1.01
0.726284,0.9898,-0.0945,0.0765,1.00
0.741570,0.9885,-0.0965,0.0762,1.00
0.759202,0.9917,-0.0992,0.0684,1.00
0.790860,0.9734,-0.0808,0.0599,0.98
