time,gFx,gFy,gFz,TgF
0.001598,0.9924,-0.1234,0.0198,1.00
0.019943,1.0044,-0.1236,0.0068,1.01
0.035067,1.0132,-0.1080,0.0039,1.02
0.051224,1.0135,-0.0960,0.0083,1.02
0.067444,0.9920,-0.0799,0.0295,1.00
0.087165,0.9861,-0.0574,0.0420,0.99
0.117224,0.9758,-0.0603,0.0836,0.98
0.133870,0.9783,-0.0760,0.0931,0.99
0.150369,0.9883,-0.0811,0.0914,1.00
0.166949,0.9964,-0.0630,0.0853,1.00
0.186927,0.9973,-0.0593,0.0669,1.00
0.216931,0.9780,-0.0637,0.0518,0.98
0.234211,0.9717,-0.0635,0.0530,0.98
0.250851,0.9744,-0.0632,0.0520,0.98
0.286453,0.9829,-0.0606,0.0342,0.99
0.300977,0.9810,-0.0757,0.0354,0.98
0.317375,0.9788,-0.0823,0.0427,0.98
0.333660,0.9812,-0.0774,0.0403,0.99
0.350528,0.9805,-0.0855,0.0200,0.98
0.389277,0.9746,-0.0938,0.0621,0.98
0.389574,0.9746,-0.0938,0.0621,0.98
0.416667,0.9851,-0.0967,0.0625,0.99
0.436900,0.9827,-0.1014,0.0618,0.99
0.449764,0.9783,-0.1048,0.0657,0.99
0.497028,0.9885,-0.1126,0.0831,1.00
0.497324,0.9885,-0.1126,0.0831,1.00
0.517801,0.9726,-0.1376,0.0936,0.99
0.533396,0.9638,-0.1539,0.1036,0.98
0.568849,0.9788,-0.1373,0.0865,0.99
0.582841,0.9832,-0.1041,0.0806,0.99
0.603197,0.9827,-0.1085,0.0762,0.99
0.616887,0.9839,-0.1222,0.0753,0.99
0.634295,0.9810,-0.1476,0.0753,0.99
0.682734,0.9890,-0.1542,0.0533,1.00
0.683025,0.9890,-0.1542,0.0533,1.00
0.700488,0.9968,-0.1349,0.0464,1.01
0.717264,0.9983,-0.1244,0.0430,1.01
0.749635,1.0086,-0.1300,0.0459,1.02
0.766089,0.9976,-0.1422,0.0393,1.01
0.787531,0.9878,-0.1439,0.0447,1.00
0.799323,0.9768,-0.1356,0.0611,0.99
0.832681,0.9585,-0.1046,0.0799,0.97
0.849107,0.9707,-0.0874,0.0655,0.98
0.865807,0.9763,-0.0623,0.0454,0.98
0.885452,0.9700,-0.0315,0.0200,0.97
0.916093,0.8915,0.0093,-0.0565,0.89
0.933296,0.8404,0.0301,-0.0983,0.85
0.949002,0.8211,0.0519,-0.1274,0.83
0.966137,0.8340,0.0670,-0.1147,0.84
0.988124,0.9445,0.0169,0.0364,0.95
1.015768,1.0335,-0.1014,0.1276,1.05
1.034687,1.0406,-0.1508,0.1090,1.06
1.048973,1.0198,-0.1715,0.0679,1.04
1.091513,1.0946,-0.1141,0.1464,1.11
1.091846,1.0946,-0.1141,0.1464,1.11
1.115150,1.1090,-0.1613,0.0968,1.12
1.132645,1.0521,-0.1236,0.0921,1.06
1.149030,0.9389,-0.0214,0.1097,0.95
1.195480,0.6996,0.1191,0.1080,0.72
1.195750,0.6996,0.1191,0.1080,0.72
1.217420,0.7084,0.1215,0.0775,0.72
1.232974,0.7544,0.0783,0.0633,0.76
1.251939,0.8120,-0.0087,0.0665,0.81
1.284757,0.9040,-0.1290,0.0931,0.92
1.298126,0.9597,-0.1055,0.0628,0.97
1.314994,1.0115,-0.0493,0.0481,1.01
1.348550,1.0081,0.0052,0.0489,1.01
1.364741,1.0208,-0.0192,0.0647,1.02
1.381639,1.0284,-0.0386,0.0863,1.03
1.401650,1.0333,-0.0493,0.0936,1.04
1.414754,1.0127,-0.0342,0.0872,1.02
1.447760,0.9626,0.0081,0.0100,0.96
1.468761,0.9409,0.0763,-0.0372,0.94
1.484127,0.9069,0.1206,-0.0406,0.92
1.500778,0.8177,0.1616,-0.0323,0.83
1.514594,0.7920,0.0971,0.0078,0.80
1.551233,0.7827,-0.1598,-0.0096,0.80
1.564613,0.8426,-0.2087,-0.0792,0.87
1.584205,0.9582,-0.1679,-0.1838,0.99
1.598276,1.0704,-0.0826,-0.1760,1.09
1.616107,1.1961,0.0118,-0.1203,1.20
