time,gFx,gFy,gFz,TgF
0.014378,0.8402,0.0890,0.5160,0.99
0.031606,0.8477,0.0937,0.5062,0.99
0.048560,0.8468,0.1008,0.5023,0.99
0.080136,0.8477,0.0937,0.5003,0.99
0.097234,0.8519,0.0775,0.5023,0.99
0.115164,0.8516,0.0717,0.5011,0.99
0.132121,0.8534,0.0739,0.5006,0.99
0.149617,0.8531,0.0839,0.4996,0.99
0.179867,0.8492,0.0949,0.5001,0.99
0.196544,0.8426,0.0920,0.5042,0.99
0.212993,0.8362,0.0895,0.5108,0.98
0.230737,0.8375,0.0871,0.5150,0.99
0.250616,0.8431,0.0851,0.5145,0.99
0.279326,0.8512,0.0910,0.5064,0.99
0.298177,0.8480,0.0964,0.5003,0.99
0.312392,0.8446,0.0956,0.5011,0.99
0.346493,0.8443,0.0824,0.5072,0.99
0.362544,0.8460,0.0829,0.5101,0.99
0.379508,0.8465,0.0846,0.5089,0.99
0.396253,0.8512,0.0856,0.5028,0.99
0.413590,0.8558,0.0829,0.4959,0.99
0.445947,0.8602,0.0837,0.4918,0.99
0.462423,0.8541,0.0839,0.4976,0.99
0.479074,0.8494,0.0827,0.5025,0.99
0.496019,0.8392,0.0753,0.5143,0.99
0.529735,0.8409,0.0907,0.5148,0.99
0.545620,0.8460,0.0998,0.5069,0.99
0.562200,0.8463,0.1000,0.5045,0.99
0.578968,0.8458,0.0976,0.5050,0.99
0.595503,0.8438,0.0907,0.5084,0.99
0.630127,0.8480,0.0780,0.5077,0.99
0.647349,0.8497,0.0768,0.5028,0.99
0.662398,0.8512,0.0763,0.5001,0.99
0.678768,0.8514,0.0790,0.5018,0.99
0.696753,0.8502,0.0832,0.5028,0.99
0.729764,0.8480,0.0856,0.5038,0.99
0.745118,0.8475,0.0846,0.5033,0.99
0.761653,0.8492,0.0817,0.5038,0.99
0.778618,0.8482,0.0837,0.5038,0.99
0.811803,0.8450,0.0861,0.5126,0.99
0.828463,0.8458,0.0829,0.5162,0.99
0.846241,0.8421,0.0797,0.5152,0.99
0.861302,0.8362,0.0810,0.5155,0.99
0.878823,0.8428,0.0834,0.5104,0.99
0.911855,0.8543,0.0819,0.5028,0.99
0.928308,0.8499,0.0859,0.5030,0.99
0.946324,0.8443,0.0849,0.4998,0.98
0.961065,0.8453,0.0839,0.4991,0.99
0.980056,0.8480,0.0839,0.4989,0.99
1.011742,0.8512,0.0898,0.5060,0.99
1.027737,0.8485,0.0934,0.5069,0.99
1.045568,0.8453,0.0912,0.5064,0.99
1.061482,0.8438,0.0868,0.5082,0.99
1.094448,0.8450,0.0834,0.5086,0.99
1.110892,0.8446,0.0832,0.5077,0.99
1.129124,0.8460,0.0827,0.5074,0.99
1.161114,0.8431,0.0868,0.5145,0.99
1.177335,0.8421,0.0876,0.5162,0.99
1.194270,0.8404,0.0861,0.5140,0.99
1.212411,0.8394,0.0812,0.5118,0.99
1.228388,0.8421,0.0793,0.5099,0.99
1.246746,0.8480,0.0793,0.5069,0.99
1.277307,0.8504,0.0819,0.5008,0.99
1.294383,0.8482,0.0819,0.5011,0.99
1.311326,0.8465,0.0812,0.5052,0.99
1.327281,0.8463,0.0805,0.5077,0.99
1.361081,0.8487,0.0817,0.5040,0.99
1.377282,0.8514,0.0793,0.5033,0.99
1.394050,0.8490,0.0785,0.5062,0.99
1.411125,0.8463,0.0780,0.5086,0.99
1.428148,0.8472,0.0819,0.5072,0.99
1.460226,0.8482,0.0844,0.5047,0.99
1.476966,0.8455,0.0815,0.5099,0.99
1.494232,0.8428,0.0822,0.5143,0.99
1.510516,0.8416,0.0832,0.5174,0.99
