time,gFx,gFy,gFz,TgF
0.012172,0.9920,-0.0383,0.0151,0.99
0.030640,0.9856,-0.0430,0.0207,0.99
0.047386,0.9807,-0.0500,0.0308,0.98
0.066423,0.9844,-0.0503,0.0388,0.99
0.097004,0.9839,-0.0571,0.0415,0.99
0.112964,0.9805,-0.0593,0.0457,0.98
0.129618,0.9766,-0.0630,0.0479,0.98
0.148569,0.9768,-0.0615,0.0533,0.98
0.167751,0.9814,-0.0547,0.0596,0.98
0.197922,0.9878,-0.0608,0.0366,0.99
0.212787,0.9834,-0.0535,0.0449,0.99
0.232022,0.9792,-0.0520,0.0589,0.98
0.247429,0.9836,-0.0510,0.0569,0.99
0.274797,0.9861,-0.0535,0.0479,0.99
0.302041,0.9805,-0.0606,0.0489,0.98
0.315501,0.9851,-0.0566,0.0491,0.99
0.336894,0.9893,-0.0515,0.0427,0.99
0.352143,0.9871,-0.0505,0.0379,0.99
0.368864,0.9854,-0.0530,0.0415,0.99
0.406705,0.9902,-0.0635,0.0359,0.99
0.418598,0.9942,-0.0645,0.0308,1.00
0.439077,0.9922,-0.0601,0.0295,0.99
0.451180,0.9910,-0.0566,0.0308,0.99
0.469395,0.9893,-0.0415,0.0293,0.99
0.494048,0.9846,-0.0327,0.0237,0.99
0.522024,0.9885,-0.0381,0.0176,0.99
0.534659,0.9932,-0.0405,0.0159,0.99
0.551056,0.9961,-0.0400,0.0119,1.00
0.569851,0.9912,-0.0390,0.0044,0.99
0.614267,0.9878,-0.0205,-0.0032,0.99
0.614580,0.9878,-0.0205,-0.0032,0.99
0.636864,0.9942,-0.0166,-0.0035,0.99
0.651782,0.9956,-0.0168,-0.0044,1.00
0.681926,0.9934,-0.0258,-0.0013,0.99
0.697170,0.9944,-0.0317,-0.0022,0.99
0.723866,0.9971,-0.0366,0.0019,1.00
0.734841,1.0000,-0.0376,0.0022,1.00
0.765003,0.9873,-0.0437,0.0093,0.99
0.784854,0.9834,-0.0456,0.0129,0.98
0.800687,0.9807,-0.0454,0.0163,0.98
0.819883,0.9836,-0.0466,0.0205,0.98
0.850590,0.9898,-0.0581,0.0185,0.99
0.867429,0.9898,-0.0596,0.0185,0.99
0.883657,0.9910,-0.0554,0.0144,0.99
0.919747,0.9863,-0.0574,0.0122,0.99
0.938864,0.9888,-0.0581,0.0225,0.99
0.950301,0.9917,-0.0530,0.0278,0.99
0.967617,0.9910,-0.0486,0.0354,0.99
0.983512,0.9885,-0.0542,0.0222,0.99
1.019509,0.9807,-0.0510,0.0408,0.98
1.034220,0.9814,-0.0525,0.0454,0.98
1.050237,0.9802,-0.0540,0.0449,0.98
1.067102,0.9814,-0.0584,0.0442,0.98
1.083708,0.9810,-0.0703,0.0462,0.98
1.118775,0.9866,-0.0764,0.0386,0.99
1.135650,1.0003,-0.0640,0.0295,1.00
1.150087,0.9968,-0.0593,0.0266,1.00
1.168451,0.9851,-0.0628,0.0320,0.99
1.184444,0.9802,-0.0608,0.0327,0.98
1.219623,0.9934,-0.0606,0.0305,1.00
1.235013,0.9946,-0.0598,0.0335,1.00
1.249792,0.9968,-0.0645,0.0335,1.00
1.269102,1.0000,-0.0664,0.0266,1.00
1.285400,0.9946,-0.0549,0.0264,1.00
1.318481,0.9770,-0.0476,0.0401,0.98
1.333677,0.9829,-0.0513,0.0393,0.99
1.349839,0.9878,-0.0593,0.0352,0.99
1.366523,0.9866,-0.0628,0.0317,0.99
1.386566,0.9846,-0.0596,0.0288,0.99
1.418324,0.9846,-0.0650,0.0313,0.99
1.433220,0.9812,-0.0657,0.0327,0.98
1.454814,0.9841,-0.0764,0.0310,0.99
1.467693,0.9873,-0.0789,0.0354,0.99
1.504195,0.9861,-0.0772,0.0234,0.99
1.516095,0.9851,-0.0855,0.0156,0.99
1.535047,0.9827,-0.0950,0.0117,0.99
1.549611,0.9800,-0.0958,0.0075,0.98
1.582581,0.9834,-0.0896,0.0188,0.99
1.599115,0.9939,-0.0982,0.0100,1.00
1.615655,0.9986,-0.1075,0.0066,1.00
1.635153,0.9934,-0.1124,0.0105,1.00
