time,gFx,gFy,gFz,TgF
0.003543,0.9802,-0.0430,0.0845,0.98
0.017927,0.9905,-0.0571,0.0919,1.00
0.028908,0.9951,-0.0684,0.0926,1.00
0.058946,0.9792,-0.0826,0.0779,0.99
0.085210,0.9827,-0.0838,0.0833,0.99
0.091946,0.9868,-0.0811,0.0853,0.99
0.112750,0.9920,-0.0791,0.0823,1.00
0.141922,0.9778,-0.0689,0.0735,0.98
0.158792,0.9719,-0.0632,0.0823,0.98
0.177569,0.9827,-0.0571,0.0882,0.99
0.191998,0.9885,-0.0630,0.0848,0.99
0.208499,0.9868,-0.0762,0.0819,0.99
0.228875,0.9819,-0.0852,0.0865,0.99
0.258919,0.9939,-0.0738,0.0853,1.00
0.277105,0.9912,-0.0689,0.0831,1.00
0.291811,0.9846,-0.0681,0.0806,0.99
0.310613,0.9756,-0.0652,0.0831,0.98
0.341661,0.9929,-0.0628,0.0745,1.00
0.358145,0.9978,-0.0664,0.0726,1.00
0.377053,0.9893,-0.0689,0.0706,0.99
0.408040,0.9726,-0.0640,0.0765,0.98
0.426200,0.9675,-0.0635,0.0877,0.97
0.442611,0.9731,-0.0642,0.1031,0.98
0.457868,0.9863,-0.0713,0.1078,0.99
0.483760,0.9895,-0.0811,0.0941,1.00
0.510748,0.9768,-0.0838,0.0843,0.98
0.524657,0.9790,-0.0901,0.0914,0.99
0.541943,0.9834,-0.0936,0.0943,0.99
0.558249,0.9912,-0.0987,0.0870,1.00
0.576421,0.9902,-0.0914,0.0726,1.00
0.608027,0.9858,-0.0764,0.0828,0.99
0.625347,0.9795,-0.0752,0.0948,0.99
0.645310,0.9726,-0.0882,0.0965,0.98
0.657962,0.9685,-0.0821,0.0916,0.98
0.693752,0.9712,-0.0540,0.0762,0.98
0.710290,0.9704,-0.0486,0.0823,0.98
0.724269,0.9665,-0.0535,0.0892,0.97
0.741422,0.9690,-0.0654,0.0889,0.98
0.758977,0.9824,-0.0630,0.0821,0.99
0.791030,0.9973,-0.0564,0.0767,1.00
0.807865,0.9851,-0.0659,0.0723,0.99
0.824968,0.9832,-0.0669,0.0696,0.99
0.843740,0.9932,-0.0657,0.0694,1.00
0.878376,0.9951,-0.0586,0.0794,1.00
0.890626,0.9961,-0.0647,0.0794,1.00
0.907453,0.9854,-0.0610,0.0850,0.99
0.923860,0.9722,-0.0522,0.0907,0.98
0.940682,0.9717,-0.0576,0.0858,0.98
0.973650,0.9844,-0.0422,0.0699,0.99
0.992755,0.9868,-0.0337,0.0650,0.99
1.007324,1.0005,-0.0420,0.0454,1.00
1.023792,1.0086,-0.0383,0.0405,1.01
1.045498,1.0022,-0.0205,0.0393,1.00
1.075684,0.9873,-0.0161,0.0638,0.99
1.092587,0.9773,-0.0126,0.0630,0.98
1.106721,0.9722,-0.0102,0.0704,0.97
1.124017,0.9638,-0.0058,0.0899,0.97
1.156812,0.9761,-0.0043,0.0889,0.98
1.174151,0.9900,0.0010,0.0770,0.99
1.193618,0.9783,-0.0016,0.0723,0.98
1.209448,0.9609,-0.0312,0.0716,0.96
1.241222,0.9580,-0.0654,0.0704,0.96
1.258213,0.9722,-0.0764,0.0374,0.98
1.273557,0.9736,-0.0928,0.0259,0.98
1.294762,0.9678,-0.1085,0.0293,0.97
1.323676,0.9763,-0.1048,0.0259,0.98
1.339706,0.9944,-0.0896,0.0313,1.00
1.364969,1.0191,-0.0760,0.0379,1.02
1.373041,1.0223,-0.0816,0.0303,1.03
1.391465,1.0032,-0.0960,0.0293,1.01
