time,gFx,gFy,gFz,TgF
0.004668,0.9719,-0.0530,0.0330,0.97
0.028716,0.9433,-0.0784,0.0733,0.95
0.066968,0.9866,-0.1070,0.0819,1.00
0.068885,0.9866,-0.1070,0.0819,1.00
0.095399,0.9849,-0.1104,0.0750,0.99
0.095755,0.9849,-0.1104,0.0750,0.99
0.130563,0.9648,-0.0720,0.0767,0.97
0.162599,0.9834,-0.0412,0.0613,0.99
0.166583,0.9849,-0.0425,0.0601,0.99
0.192513,0.9724,-0.0537,0.0562,0.98
0.210404,0.9700,-0.0581,0.0533,0.97
0.232083,0.9888,-0.0608,0.0491,0.99
0.264248,0.9993,-0.0544,0.0591,1.00
0.272577,0.9924,-0.0520,0.0535,1.00
0.294808,0.9832,-0.0508,0.0354,0.99
0.329407,0.9983,-0.0708,0.0325,1.00
0.330016,0.9983,-0.0708,0.0325,1.00
0.352454,1.0025,-0.0955,0.0469,1.01
0.379012,0.9929,-0.1121,0.0430,1.00
0.394460,0.9858,-0.1187,0.0523,0.99
0.412522,0.9939,-0.1163,0.0657,1.00
0.441845,1.0100,-0.0918,0.0586,1.02
0.444142,1.0100,-0.0918,0.0586,1.02
0.485406,0.9753,-0.0945,0.0628,0.98
0.485709,0.9753,-0.0945,0.0628,0.98
0.542619,0.9841,-0.1094,0.0611,0.99
0.543330,0.9841,-0.1094,0.0611,0.99
0.573299,0.9802,-0.0816,0.0555,0.99
0.573570,0.9802,-0.0816,0.0555,0.99
0.588687,0.9805,-0.0711,0.0757,0.99
0.625822,1.0027,-0.1026,0.0489,1.01
0.634986,0.9988,-0.1075,0.0528,1.01
0.646178,1.0000,-0.1104,0.0537,1.01
0.678090,0.9814,-0.1461,0.0449,0.99
0.694058,0.9643,-0.1476,0.0415,0.98
0.727916,0.9812,-0.0997,0.0183,0.99
0.743659,0.9836,-0.0657,0.0036,0.99
0.766803,0.9365,-0.0449,-0.0365,0.94
0.778034,0.8986,-0.0337,-0.0435,0.90
0.793991,0.8636,-0.0090,-0.0682,0.87
0.817246,0.8534,0.0355,-0.0963,0.86
0.847313,0.9000,0.0519,-0.0506,0.90
0.860242,0.9682,0.0042,-0.0027,0.97
0.877183,1.0467,-0.0899,0.0310,1.05
0.913608,1.0269,-0.0953,0.0733,1.03
0.941415,1.0357,-0.0564,0.1312,1.05
0.950560,1.0438,-0.0525,0.1435,1.05
0.960482,1.0753,-0.0596,0.1620,1.09
0.976704,1.0912,-0.0926,0.1383,1.10
1.015813,0.9734,-0.0588,0.1496,0.99
1.016175,0.9734,-0.0588,0.1496,0.99
1.045698,0.8922,-0.0158,0.1254,0.90
1.060654,0.8468,-0.0016,0.1095,0.85
1.093410,0.7656,0.0147,0.0841,0.77
1.109782,0.7632,0.0301,0.0300,0.76
1.133516,0.7245,-0.0444,-0.0501,0.73
1.164844,0.6519,0.0247,-0.0560,0.65
1.175422,0.6700,0.0729,0.0036,0.67
1.193911,0.8705,0.0751,0.1202,0.88
1.218990,1.1723,-0.0872,0.0970,1.18
1.229999,1.1951,-0.1679,0.0877,1.21
1.260796,1.0526,-0.1987,0.1205,1.08
1.261086,1.0526,-0.1987,0.1205,1.08
1.293181,1.0602,0.0164,0.1696,1.07
1.309499,1.0641,-0.0051,0.1637,1.08
1.335998,1.0848,-0.0701,0.1581,1.10
1.358924,0.9741,-0.0317,0.1188,0.98
1.375981,0.9277,0.0265,0.0926,0.93
1.393221,0.9000,0.0773,0.0823,0.91
1.409607,0.8768,0.0983,0.0667,0.88
1.440599,0.8174,0.0191,0.0449,0.82
1.459641,0.8047,-0.0887,0.0266,0.81
1.475837,0.8494,-0.1517,-0.0257,0.86
1.493671,0.9179,-0.1405,-0.1071,0.93
1.509257,1.0362,-0.0657,-0.2765,1.07
1.530572,1.1164,-0.0100,-0.3347,1.17
1.558689,1.3337,-0.2094,-0.2555,1.37
1.575837,1.3948,-0.4223,-0.1692,1.47
1.592975,1.2731,-0.4646,0.0559,1.36
1.608997,1.1848,-0.3285,0.1821,1.24
1.629061,1.1203,-0.1351,0.1794,1.14
1.652621,1.1951,-0.0618,-0.0145,1.20
1.675983,1.2254,-0.0584,-0.1746,1.24
1.692628,1.1538,-0.1574,-0.1790,1.18
1.708872,1.1005,-0.2612,-0.1274,1.14
1.730853,1.0100,-0.2776,-0.0565,1.05
1.762887,0.9604,-0.2490,-0.0873,1.00
1.775691,0.9795,-0.2444,-0.0973,1.01
1.795815,0.9802,-0.1935,-0.0670,1.00
1.808679,0.9548,-0.1725,-0.0594,0.97
1.829883,0.9201,-0.1842,-0.0533,0.94
1.869110,0.8871,-0.2500,-0.0509,0.92
1.875363,0.8927,-0.2564,-0.0523,0.93
1.891812,0.9125,-0.2573,-0.0555,0.95
1.908535,0.9238,-0.2273,-0.0494,0.95
1.930207,0.9123,-0.1926,-0.0450,0.93
1.958914,0.8820,-0.1725,-0.0360,0.90
1.975584,0.8961,-0.1918,-0.0431,0.92
1.992734,0.9223,-0.2116,-0.0560,0.95
2.028451,0.9196,-0.1464,-0.0702,0.93
2.046216,0.9057,-0.1329,-0.0545,0.92
2.058719,0.9013,-0.1598,-0.0240,0.92
2.076109,0.8993,-0.1823,0.0176,0.92
2.091872,0.8849,-0.1803,0.0489,0.90
2.113215,0.8526,-0.1429,0.0247,0.86
2.143262,0.7942,-0.0747,-0.0035,0.80
2.159508,0.7959,-0.0552,0.0171,0.80
2.185029,0.8920,-0.0742,0.0305,0.90
2.191518,0.9142,-0.0928,0.0271,0.92
2.211768,0.9264,-0.1495,0.0110,0.94
2.237817,0.8470,-0.1107,0.0449,0.86
2.257979,0.8612,-0.1038,-0.0484,0.87
2.274660,0.8670,-0.1256,-0.0748,0.88
2.313668,0.9854,-0.0999,0.0481,0.99
2.352481,1.0064,-0.2028,0.1342,1.04
2.352983,1.0064,-0.2028,0.1342,1.04
2.358286,1.0262,-0.1989,0.1503,1.06
2.377699,1.0587,-0.1549,0.1452,1.08
2.413817,1.0496,-0.0752,0.1369,1.06
2.442747,1.0575,-0.1207,0.1549,1.08
2.443062,1.0575,-0.1207,0.1549,1.08
2.458704,1.0232,-0.1314,0.1747,1.05
2.483515,0.9616,-0.1031,0.2180,0.99
2.512227,0.9836,-0.1703,0.1503,1.01
2.546008,1.0345,-0.3531,0.0178,1.09
2.546356,1.0345,-0.3531,0.0178,1.09
2.578981,1.0345,-0.0410,-0.1276,1.04
2.590613,1.0577,0.0775,-0.1611,1.07
2.608288,1.0690,0.2658,-0.1684,1.11
2.624566,1.0406,0.2995,-0.1340,1.09
2.643815,1.0330,0.0863,-0.0971,1.04
2.670933,1.1335,-0.3057,-0.0409,1.17
2.690268,1.2550,-0.3839,0.0166,1.31
2.706875,1.2892,-0.2422,0.0374,1.31
2.726856,1.2388,-0.0278,0.0154,1.24
2.755085,1.1327,-0.0356,-0.0030,1.13
2.774329,1.1095,-0.1231,0.0300,1.12
2.790114,1.0892,-0.1033,0.0337,1.09
2.827199,0.9697,0.0199,-0.0281,0.97
2.855074,0.9528,-0.0016,-0.0685,0.96
2.855655,0.9528,-0.0016,-0.0685,0.96
2.873506,0.9824,0.0208,-0.0714,0.99
2.889827,0.9942,0.0516,-0.0594,1.00
2.929966,0.9186,-0.0129,-0.0179,0.92
2.930576,0.9186,-0.0129,-0.0179,0.92
2.967249,0.9235,-0.1175,0.0193,0.93
2.972967,0.9340,-0.1175,0.0229,0.94
2.989571,0.9695,-0.0833,0.0481,0.97
3.027324,0.9235,0.0145,0.0295,0.92
3.053457,0.8487,0.0345,0.0449,0.85
3.053916,0.8487,0.0345,0.0449,0.85
3.072967,0.8568,0.0162,0.0388,0.86
3.089967,0.8443,0.0015,0.0489,0.85
3.127253,0.7302,-0.0718,-0.0110,0.73
3.155128,0.7316,-0.0921,-0.0675,0.74
3.155483,0.7316,-0.0921,-0.0675,0.74
3.172824,0.7392,-0.0889,-0.0907,0.75
3.190612,0.7986,-0.0794,-0.0421,0.80
3.226894,0.9492,-0.1525,-0.0875,0.97
3.257413,0.9387,0.0824,-0.0577,0.94
3.257894,0.9453,0.1091,-0.0506,0.95
3.291742,1.0570,0.0093,0.0210,1.06
3.302696,1.0817,-0.0716,0.0425,1.08
3.324638,1.0856,-0.1351,0.0907,1.10
3.338802,1.0602,-0.0921,0.0894,1.07
3.369750,1.0061,0.0208,0.0794,1.01
3.372691,1.0061,0.0208,0.0794,1.01
3.392580,1.0034,0.0008,0.0885,1.01
3.427226,1.0074,-0.1165,0.1092,1.02
3.455984,0.9648,-0.0870,0.0916,0.97
3.464780,0.9651,-0.0674,0.0999,0.97
3.473130,0.9658,-0.0596,0.1046,0.97
3.493230,0.9682,-0.0437,0.0982,0.97
3.526317,1.0399,-0.0752,0.0137,1.04
3.551647,1.1308,-0.0466,-0.0631,1.13
3.555118,1.1376,-0.0425,-0.0692,1.14
3.574152,1.1210,-0.0542,-0.0721,1.12
3.605342,1.1318,-0.2326,-0.0066,1.16
3.622790,1.1787,-0.2818,0.0088,1.21
3.644261,1.2435,-0.2392,-0.0751,1.27
3.673957,1.1709,-0.0593,-0.0621,1.17
3.689055,1.1557,-0.0393,-0.0589,1.16
3.711303,1.1088,-0.0686,-0.0861,1.11
3.722276,1.0746,-0.0725,-0.0941,1.08
3.742892,1.0074,-0.0637,-0.1042,1.01
3.773838,1.0144,-0.1156,-0.0812,1.02
3.789453,1.0184,-0.1583,-0.0545,1.03
3.805884,0.9988,-0.1715,-0.0316,1.01
3.828930,0.9448,-0.1537,-0.0101,0.96
3.859282,0.9027,-0.1857,-0.0218,0.92
3.859563,0.9027,-0.1857,-0.0218,0.92
3.889045,0.9726,-0.1747,-0.0277,0.99
3.909331,1.0093,-0.1596,-0.0462,1.02
3.921551,1.0176,-0.1468,-0.0482,1.03
3.941353,0.9946,-0.1534,-0.0306,1.01
3.966613,0.9800,-0.1913,-0.0142,1.00
3.987677,0.9602,-0.1493,0.0049,0.97
4.004764,0.9700,-0.1239,0.0041,0.98
4.027401,0.9770,-0.1148,-0.0030,0.98
4.054696,0.9704,-0.1092,-0.0191,0.98
4.070918,0.9702,-0.1251,-0.0008,0.98
4.087903,0.9521,-0.1393,0.0171,0.96
4.104670,0.9372,-0.1473,0.0200,0.95
4.126813,0.9245,-0.1556,0.0381,0.94
4.149428,0.8756,-0.1148,0.0330,0.88
4.170830,0.8140,-0.0786,0.0418,0.82
4.187533,0.8135,-0.0872,0.0518,0.82
4.221271,0.8118,-0.1354,0.0234,0.82
4.243391,0.7849,-0.1016,-0.0047,0.79
4.271459,0.7062,-0.0408,-0.0076,0.71
4.271743,0.7062,-0.0408,-0.0076,0.71
4.288104,0.6928,-0.0320,0.0176,0.69
4.309047,0.7634,-0.0972,0.0320,0.77
4.341400,0.8472,-0.1486,0.0127,0.86
4.366817,0.9514,-0.0840,0.0335,0.96
4.371228,0.9834,-0.0796,0.0359,0.99
4.387419,1.0824,-0.1222,0.0122,1.09
4.424470,1.1100,-0.1872,0.0821,1.13
4.461563,1.0440,-0.1146,0.1393,1.06
4.461861,1.0440,-0.1146,0.1393,1.06
4.470245,1.0470,-0.1070,0.1430,1.06
4.488083,1.0626,-0.0936,0.1410,1.08
4.531312,1.1088,-0.1006,0.0430,1.11
4.531730,1.1088,-0.1006,0.0430,1.11
4.555071,1.1090,-0.1094,0.0423,1.12
4.572508,1.1210,-0.1574,0.0452,1.13
4.603491,1.1000,-0.2556,0.0420,1.13
4.620255,1.0570,-0.2194,0.0298,1.08
4.640609,1.0220,-0.0914,0.0410,1.03
4.675175,0.9836,0.1162,0.0129,0.99
4.686387,1.0802,0.1946,0.0029,1.10
4.703461,1.2601,0.1091,-0.0936,1.27
4.720590,1.2828,-0.0992,-0.1633,1.30
4.741998,1.1484,-0.2009,-0.1362,1.17
4.766115,1.0218,-0.0945,-0.0861,1.03
