time,gFx,gFy,gFz,TgF
0.001726,0.8651,0.0673,0.4720,0.99
0.015051,0.8644,0.0673,0.4700,0.99
0.033443,0.8631,0.0749,0.4783,0.99
0.064669,0.8597,0.0761,0.4942,0.99
0.080231,0.8570,0.0719,0.4942,0.99
0.097419,0.8590,0.0712,0.4876,0.99
0.113664,0.8641,0.0744,0.4827,0.99
0.131635,0.8631,0.0756,0.4832,0.99
0.163377,0.8578,0.0756,0.4901,0.99
0.179961,0.8612,0.0790,0.4881,0.99
0.196897,0.8641,0.0790,0.4874,1.00
0.215020,0.8670,0.0724,0.4835,1.00
0.231358,0.8626,0.0687,0.4803,0.99
0.263485,0.8614,0.0705,0.4742,0.99
0.280006,0.8626,0.0771,0.4774,0.99
0.297034,0.8624,0.0800,0.4808,0.99
0.314679,0.8612,0.0797,0.4849,0.99
0.334078,0.8595,0.0761,0.4844,0.99
0.363167,0.8607,0.0731,0.4793,0.99
0.379939,0.8634,0.0709,0.4725,0.99
0.396555,0.8644,0.0702,0.4693,0.99
0.414613,0.8609,0.0753,0.4754,0.99
0.446526,0.8602,0.0788,0.4896,0.99
0.463177,0.8629,0.0727,0.4849,0.99
0.479700,0.8648,0.0692,0.4805,0.99
0.496320,0.8653,0.0700,0.4788,0.99
0.515613,0.8622,0.0729,0.4818,0.99
0.546090,0.8600,0.0763,0.4910,0.99
0.562800,0.8582,0.0746,0.4920,0.99
0.579309,0.8575,0.0709,0.4920,0.99
0.614383,0.8582,0.0663,0.4871,0.99
0.630284,0.8602,0.0717,0.4840,0.99
0.645827,0.8619,0.0766,0.4805,0.99
0.663058,0.8626,0.0793,0.4820,0.99
0.679490,0.8595,0.0736,0.4820,0.99
0.713992,0.8602,0.0719,0.4852,0.99
0.729476,0.8624,0.0729,0.4849,0.99
0.745710,0.8636,0.0734,0.4825,0.99
0.762431,0.8624,0.0749,0.4825,0.99
0.779661,0.8612,0.0763,0.4888,0.99
0.813961,0.8573,0.0778,0.4942,0.99
0.830791,0.8578,0.0778,0.4937,0.99
0.845633,0.8563,0.0751,0.4915,0.99
0.862952,0.8582,0.0683,0.4840,0.99
0.881055,0.8622,0.0697,0.4815,0.99
0.913762,0.8619,0.0727,0.4849,0.99
0.929417,0.8612,0.0727,0.4891,0.99
0.945726,0.8609,0.0719,0.4918,0.99
0.962091,0.8617,0.0709,0.4849,0.99
0.982098,0.8648,0.0680,0.4769,0.99
1.013533,0.8648,0.0658,0.4759,0.99
1.028751,0.8604,0.0705,0.4796,0.99
1.045462,0.8573,0.0744,0.4844,0.99
1.078505,0.8602,0.0731,0.4800,0.99
1.095024,0.8629,0.0729,0.4761,0.99
1.112048,0.8680,0.0753,0.4693,0.99
1.130147,0.8690,0.0761,0.4632,0.99
1.145093,0.8683,0.0739,0.4668,0.99
1.178380,0.8607,0.0700,0.4820,0.99
1.195107,0.8585,0.0736,0.4847,0.99
1.211780,0.8575,0.0724,0.4866,0.99
1.229938,0.8582,0.0749,0.4884,0.99
1.246182,0.8609,0.0773,0.4881,0.99
1.278546,0.8626,0.0780,0.4906,1.00
1.294928,0.8617,0.0741,0.4871,0.99
1.311385,0.8607,0.0719,0.4866,0.99
1.329535,0.8568,0.0714,0.4881,0.99
1.348067,0.8573,0.0719,0.4849,0.99
1.378487,0.8636,0.0744,0.4803,0.99
1.394656,0.8653,0.0727,0.4791,0.99
1.411234,0.8653,0.0717,0.4788,0.99
1.429583,0.8636,0.0680,0.4796,0.99
1.448812,0.8622,0.0668,0.4827,0.99
1.477758,0.8602,0.0712,0.4854,0.99
1.494469,0.8597,0.0714,0.4837,0.99
1.511374,0.8639,0.0744,0.4783,0.99
1.529871,0.8614,0.0741,0.4813,0.99
1.561280,0.8631,0.0665,0.4857,0.99
1.578390,0.8685,0.0727,0.4825,1.00
1.594458,0.8629,0.0736,0.4837,0.99
1.612236,0.8573,0.0736,0.4903,0.99
1.644030,0.8563,0.0700,0.4857,0.99
1.660681,0.8587,0.0687,0.4808,0.99
1.677445,0.8648,0.0712,0.4776,0.99
1.694031,0.8673,0.0724,0.4761,0.99
1.712116,0.8634,0.0751,0.4793,0.99
1.744196,0.8551,0.0734,0.4881,0.99
1.760535,0.8570,0.0705,0.4893,0.99
1.777551,0.8587,0.0702,0.4879,0.99
1.794092,0.8617,0.0729,0.4857,0.99
1.812495,0.8631,0.0763,0.4808,0.99
1.843717,0.8629,0.0714,0.4827,0.99
1.860509,0.8595,0.0683,0.4886,0.99
1.877215,0.8563,0.0700,0.4903,0.99
1.894413,0.8560,0.0746,0.4859,0.99
1.928394,0.8648,0.0722,0.4810,0.99
1.943807,0.8656,0.0695,0.4813,0.99
1.960432,0.8639,0.0714,0.4832,0.99
1.976885,0.8604,0.0727,0.4835,0.99
2.011505,0.8587,0.0717,0.4849,0.99
2.027310,0.8595,0.0712,0.4859,0.99
2.043635,0.8595,0.0758,0.4844,0.99
2.060049,0.8612,0.0741,0.4832,0.99
2.077120,0.8636,0.0719,0.4827,0.99
2.111541,0.8597,0.0729,0.4842,0.99
2.126618,0.8575,0.0727,0.4857,0.99
2.143480,0.8600,0.0749,0.4869,0.99
2.160088,0.8607,0.0739,0.4859,0.99
2.176848,0.8609,0.0714,0.4854,0.99
2.211076,0.8634,0.0751,0.4808,0.99
2.226693,0.8531,0.0744,0.4891,0.99
2.243453,0.8541,0.0717,0.4923,0.99
2.259873,0.8663,0.0731,0.4827,0.99
2.278022,0.8678,0.0736,0.4788,0.99
2.309598,0.8600,0.0744,0.4891,0.99
2.328106,0.8560,0.0705,0.4842,0.99
2.343206,0.8590,0.0651,0.4798,0.99
2.359698,0.8631,0.0705,0.4796,0.99
2.392925,0.8629,0.0793,0.4842,0.99
2.409940,0.8568,0.0790,0.4869,0.99
2.427625,0.8546,0.0749,0.4884,0.99
2.444014,0.8585,0.0702,0.4884,0.99
2.459409,0.8612,0.0712,0.4832,0.99
2.479679,0.8631,0.0709,0.4791,0.99
2.511343,0.8624,0.0741,0.4842,0.99
2.528887,0.8573,0.0756,0.4898,0.99
2.542772,0.8556,0.0768,0.4937,0.99
2.560378,0.8590,0.0739,0.4906,0.99
2.592315,0.8666,0.0683,0.4788,0.99
2.609238,0.8658,0.0714,0.4788,0.99
2.627476,0.8624,0.0749,0.4837,0.99
2.645703,0.8560,0.0724,0.4920,0.99
2.662148,0.8543,0.0734,0.4940,0.99
2.692444,0.8595,0.0839,0.4859,0.99
2.708842,0.8624,0.0775,0.4808,0.99
2.727273,0.8634,0.0717,0.4788,0.99
2.742688,0.8636,0.0687,0.4788,0.99
2.775409,0.8595,0.0766,0.4844,0.99
2.792077,0.8573,0.0783,0.4857,0.99
2.808982,0.8563,0.0785,0.4862,0.99
2.826907,0.8578,0.0749,0.4854,0.99
2.858900,0.8644,0.0722,0.4827,0.99
2.875120,0.8670,0.0736,0.4818,0.99
2.891887,0.8609,0.0736,0.4857,0.99
2.908796,0.8507,0.0736,0.4910,0.98
2.926709,0.8534,0.0775,0.4925,0.99
2.958226,0.8683,0.0744,0.4766,0.99
2.974989,0.8651,0.0756,0.4830,0.99
2.991774,0.8592,0.0773,0.4898,0.99
3.008432,0.8543,0.0753,0.4925,0.99
3.030853,0.8568,0.0746,0.4881,0.99
3.058112,0.8658,0.0756,0.4818,0.99
3.074657,0.8619,0.0746,0.4808,0.99
3.091987,0.8575,0.0753,0.4830,0.99
3.108156,0.8570,0.0758,0.4827,0.99
3.129575,0.8570,0.0741,0.4825,0.99
3.157890,0.8582,0.0749,0.4920,0.99
3.174660,0.8619,0.0768,0.4918,1.00
3.191372,0.8651,0.0751,0.4844,0.99
3.225725,0.8587,0.0712,0.4820,0.99
3.241042,0.8570,0.0736,0.4859,0.99
3.258075,0.8541,0.0761,0.4891,0.99
3.274565,0.8592,0.0766,0.4888,0.99
3.291141,0.8619,0.0778,0.4888,0.99
3.326283,0.8609,0.0751,0.4832,0.99
3.340806,0.8582,0.0722,0.4842,0.99
3.357446,0.8578,0.0714,0.4874,0.99
3.374011,0.8565,0.0712,0.4937,0.99
3.392188,0.8565,0.0736,0.4932,0.99
3.425833,0.8597,0.0768,0.4862,0.99
3.441261,0.8607,0.0751,0.4859,0.99
3.457721,0.8597,0.0753,0.4879,0.99
3.474285,0.8590,0.0753,0.4871,0.99
