time,gFx,gFy,gFz,TgF
0.014898,0.0127,0.0433,0.9997,1.00
0.031944,0.0140,0.0416,0.9997,1.00
0.047891,0.0145,0.0394,0.9982,1.00
0.064848,0.0140,0.0389,0.9973,1.00
0.097230,0.0123,0.0399,1.0002,1.00
0.113781,0.0120,0.0399,1.0000,1.00
0.130455,0.0086,0.0404,1.0017,1.00
0.147005,0.0110,0.0426,1.0019,1.00
0.168256,0.0215,0.0445,1.0036,1.00
0.196949,0.0220,0.0450,0.9963,1.00
0.213342,0.0132,0.0399,0.9948,1.00
0.230243,0.0108,0.0392,0.9970,1.00
0.248007,0.0098,0.0448,1.0009,1.00
0.266866,0.0115,0.0463,1.0009,1.00
0.296616,0.0110,0.0433,1.0012,1.00
0.314559,0.0083,0.0428,1.0029,1.00
0.331563,0.0093,0.0428,1.0022,1.00
0.347497,0.0127,0.0426,0.9995,1.00
0.379836,0.0189,0.0428,0.9958,1.00
0.396697,0.0171,0.0421,0.9960,1.00
0.413312,0.0140,0.0428,0.9985,1.00
0.429637,0.0149,0.0431,1.0007,1.00
0.462859,0.0162,0.0404,1.0017,1.00
0.479569,0.0154,0.0394,1.0007,1.00
0.496189,0.0152,0.0389,1.0004,1.00
0.512973,0.0135,0.0411,1.0002,1.00
0.547280,0.0098,0.0453,0.9990,1.00
0.562891,0.0118,0.0433,0.9997,1.00
0.579407,0.0123,0.0419,1.0007,1.00
0.596111,0.0123,0.0406,1.0004,1.00
0.612831,0.0113,0.0409,0.9995,1.00
0.647233,0.0162,0.0436,0.9992,1.00
0.662821,0.0169,0.0453,0.9992,1.00
0.679319,0.0157,0.0460,0.9987,1.00
0.696285,0.0154,0.0445,0.9987,1.00
0.713587,0.0147,0.0436,1.0002,1.00
0.749286,0.0162,0.0428,0.9995,1.00
0.764646,0.0130,0.0428,1.0004,1.00
0.779726,0.0113,0.0431,0.9982,1.00
0.795873,0.0113,0.0419,0.9987,1.00
0.829944,0.0132,0.0401,1.0004,1.00
0.846798,0.0123,0.0399,1.0017,1.00
0.864855,0.0118,0.0382,1.0004,1.00
0.880373,0.0101,0.0404,1.0012,1.00
0.896067,0.0105,0.0426,1.0004,1.00
0.915583,0.0174,0.0433,0.9987,1.00
0.948537,0.0245,0.0443,0.9973,1.00
0.962933,0.0181,0.0426,0.9968,1.00
0.979234,0.0115,0.0397,0.9990,1.00
0.996600,0.0113,0.0419,1.0007,1.00
1.029860,0.0115,0.0453,0.9995,1.00
1.045956,0.0105,0.0441,0.9990,1.00
1.070383,0.0083,0.0426,1.0022,1.00
1.079260,0.0083,0.0428,1.0029,1.00
1.097770,0.0113,0.0426,1.0012,1.00
1.129765,0.0176,0.0441,0.9963,1.00
1.146218,0.0176,0.0419,0.9960,1.00
1.164911,0.0147,0.0423,0.9965,1.00
1.179330,0.0145,0.0428,0.9987,1.00
1.198608,0.0169,0.0421,1.0012,1.00
1.229448,0.0142,0.0404,1.0004,1.00
1.249893,0.0125,0.0394,0.9968,1.00
1.262307,0.0127,0.0406,0.9973,1.00
1.281395,0.0115,0.0426,0.9992,1.00
1.312601,0.0091,0.0441,1.0041,1.01
1.329353,0.0103,0.0458,1.0048,1.01
1.348583,0.0113,0.0443,1.0036,1.00
1.366513,0.0127,0.0426,1.0002,1.00
1.396482,0.0142,0.0433,0.9978,1.00
1.412030,0.0135,0.0443,0.9978,1.00
1.428773,0.0130,0.0460,0.9978,1.00
1.445632,0.0142,0.0450,1.0009,1.00
1.464339,0.0159,0.0450,1.0017,1.00
1.495358,0.0142,0.0455,1.0014,1.00
1.511951,0.0127,0.0445,1.0014,1.00
1.529129,0.0135,0.0431,1.0002,1.00
1.545399,0.0147,0.0443,1.0000,1.00
1.564798,0.0137,0.0431,0.9992,1.00
1.595100,0.0101,0.0433,1.0002,1.00
1.611806,0.0118,0.0423,1.0022,1.00
1.628646,0.0142,0.0419,1.0002,1.00
1.663736,0.0130,0.0431,1.0004,1.00
1.679438,0.0110,0.0433,1.0002,1.00
1.694948,0.0105,0.0441,1.0017,1.00
1.711838,0.0145,0.0441,1.0026,1.00
1.730120,0.0215,0.0448,1.0061,1.01
1.764882,0.0211,0.0450,0.9936,0.99
1.778126,0.0154,0.0428,0.9934,0.99
1.794975,0.0098,0.0426,0.9973,1.00
1.811479,0.0091,0.0453,1.0017,1.00
1.845276,0.0110,0.0465,0.9997,1.00
1.861427,0.0105,0.0458,1.0007,1.00
1.880647,0.0108,0.0436,1.0029,1.00
1.894656,0.0113,0.0431,1.0039,1.00
1.913078,0.0132,0.0441,1.0024,1.00
1.944763,0.0181,0.0455,0.9968,1.00
1.967579,0.0162,0.0441,0.9960,1.00
1.977778,0.0152,0.0441,0.9980,1.00
1.994506,0.0164,0.0445,1.0009,1.00
2.027852,0.0186,0.0426,1.0029,1.00
2.045966,0.0149,0.0421,1.0017,1.00
2.061821,0.0120,0.0416,1.0007,1.00
2.077153,0.0110,0.0441,1.0000,1.00
2.095592,0.0103,0.0465,0.9992,1.00
2.127276,0.0113,0.0453,1.0007,1.00
2.144129,0.0120,0.0436,1.0014,1.00
2.160409,0.0118,0.0423,1.0004,1.00
2.177946,0.0132,0.0428,1.0009,1.00
2.196500,0.0135,0.0465,1.0000,1.00
2.226834,0.0162,0.0470,0.9995,1.00
2.243786,0.0164,0.0455,0.9987,1.00
2.261372,0.0179,0.0458,0.9980,1.00
2.278145,0.0181,0.0448,0.9992,1.00
2.297515,0.0181,0.0467,1.0012,1.00
2.326983,0.0115,0.0475,1.0012,1.00
2.343866,0.0105,0.0448,1.0012,1.00
2.360170,0.0127,0.0433,1.0007,1.00
2.378555,0.0169,0.0428,1.0000,1.00
2.409925,0.0123,0.0414,1.0017,1.00
2.426572,0.0108,0.0428,1.0019,1.00
2.443454,0.0130,0.0428,1.0017,1.00
2.460895,0.0157,0.0433,1.0000,1.00
2.479608,0.0147,0.0436,1.0002,1.00
2.509738,0.0130,0.0421,1.0000,1.00
2.526419,0.0120,0.0426,1.0009,1.00
2.542959,0.0152,0.0458,0.9992,1.00
2.560619,0.0220,0.0470,1.0012,1.00
2.592947,0.0215,0.0492,1.0019,1.00
2.610942,0.0145,0.0453,0.9970,1.00
2.628827,0.0113,0.0426,0.9968,1.00
2.643200,0.0108,0.0455,0.9980,1.00
2.662354,0.0098,0.0499,1.0002,1.00
2.692705,0.0105,0.0453,1.0012,1.00
2.709438,0.0115,0.0423,1.0024,1.00
2.725942,0.0115,0.0419,1.0036,1.00
2.760195,0.0186,0.0448,0.9992,1.00
2.775910,0.0206,0.0441,0.9973,1.00
2.792786,0.0193,0.0436,0.9965,1.00
2.809520,0.0149,0.0448,0.9973,1.00
2.825769,0.0142,0.0455,1.0012,1.00
2.860301,0.0184,0.0426,1.0039,1.00
2.875602,0.0152,0.0423,1.0017,1.00
2.892258,0.0120,0.0438,1.0014,1.00
2.909107,0.0098,0.0448,1.0004,1.00
2.925562,0.0103,0.0475,0.9997,1.00
2.960120,0.0142,0.0460,1.0014,1.00
2.975610,0.0142,0.0458,1.0017,1.00
2.992166,0.0130,0.0443,1.0014,1.00
3.008913,0.0132,0.0443,1.0017,1.00
3.026784,0.0162,0.0453,1.0009,1.00
3.060070,0.0154,0.0460,0.9987,1.00
3.075392,0.0142,0.0467,0.9987,1.00
3.092032,0.0162,0.0450,0.9980,1.00
3.108797,0.0179,0.0436,1.0000,1.00
3.128507,0.0154,0.0453,1.0026,1.00
3.161892,0.0113,0.0475,1.0009,1.00
3.179297,0.0137,0.0445,0.9997,1.00
3.192590,0.0154,0.0443,1.0000,1.00
3.210613,0.0140,0.0438,1.0012,1.00
3.242222,0.0105,0.0450,1.0017,1.00
3.259417,0.0130,0.0443,1.0009,1.00
3.278225,0.0157,0.0438,0.9992,1.00
3.292502,0.0152,0.0450,0.9987,1.00
3.325414,0.0137,0.0428,0.9995,1.00
3.342942,0.0127,0.0419,1.0007,1.00
3.359952,0.0162,0.0448,1.0000,1.00
3.377056,0.0211,0.0460,1.0000,1.00
3.392108,0.0218,0.0485,1.0048,1.01
3.426327,0.0142,0.0455,0.9985,1.00
3.442224,0.0096,0.0426,0.9975,1.00
3.458386,0.0127,0.0423,0.9975,1.00
3.477436,0.0120,0.0472,1.0004,1.00
3.493249,0.0105,0.0475,1.0002,1.00
3.524929,0.0074,0.0460,1.0031,1.00
3.543346,0.0093,0.0455,1.0041,1.01
3.558810,0.0113,0.0441,1.0022,1.00
3.577071,0.0196,0.0448,0.9973,1.00
3.594794,0.0237,0.0443,0.9936,0.99
3.625839,0.0167,0.0443,0.9963,1.00
3.641423,0.0127,0.0465,1.0017,1.00
3.659046,0.0154,0.0460,1.0053,1.01
3.681845,0.0174,0.0445,1.0048,1.01
3.708102,0.0113,0.0433,1.0007,1.00
3.725320,0.0083,0.0443,0.9997,1.00
3.742387,0.0091,0.0465,0.9995,1.00
3.758152,0.0098,0.0472,1.0000,1.00
3.777331,0.0103,0.0458,1.0007,1.00
3.807542,0.0115,0.0445,1.0026,1.00
3.824854,0.0130,0.0443,1.0014,1.00
3.841103,0.0145,0.0448,1.0000,1.00
3.858087,0.0157,0.0463,0.9995,1.00
3.890953,0.0157,0.0465,0.9997,1.00
3.907558,0.0154,0.0450,1.0007,1.00
3.924479,0.0159,0.0463,1.0017,1.00
3.941550,0.0149,0.0477,1.0009,1.00
3.978335,0.0108,0.0463,0.9997,1.00
3.991400,0.0115,0.0463,0.9980,1.00
4.008353,0.0127,0.0460,1.0004,1.00
4.024062,0.0120,0.0470,1.0009,1.00
4.042113,0.0098,0.0450,1.0046,1.01
4.060991,0.0113,0.0448,1.0031,1.00
4.090095,0.0162,0.0433,0.9992,1.00
4.106706,0.0152,0.0453,0.9995,1.00
4.123193,0.0145,0.0445,0.9997,1.00
4.141556,0.0115,0.0441,0.9995,1.00
4.173181,0.0152,0.0455,1.0000,1.00
4.189845,0.0218,0.0460,1.0022,1.00
4.206548,0.0225,0.0472,1.0056,1.01
4.222999,0.0213,0.0467,1.0012,1.00
4.257565,0.0105,0.0421,0.9970,1.00
4.272894,0.0096,0.0458,0.9990,1.00
4.289793,0.0066,0.0509,1.0031,1.00
4.306282,0.0064,0.0504,1.0024,1.00
4.322888,0.0091,0.0458,1.0004,1.00
4.356183,0.0108,0.0433,1.0029,1.00
4.374152,0.0137,0.0443,1.0017,1.00
4.389443,0.0171,0.0460,1.0004,1.00
4.406098,0.0208,0.0448,0.9985,1.00
4.424000,0.0198,0.0428,0.9968,1.00
4.456050,0.0130,0.0477,1.0000,1.00
4.473602,0.0159,0.0477,1.0019,1.00
4.489214,0.0167,0.0465,1.0031,1.00
4.505775,0.0135,0.0433,1.0019,1.00
4.539214,0.0101,0.0450,1.0012,1.00
4.555876,0.0101,0.0470,1.0009,1.00
4.573521,0.0120,0.0487,1.0014,1.00
4.589705,0.0123,0.0477,1.0019,1.00
4.607871,0.0123,0.0470,1.0009,1.00
4.640835,0.0137,0.0470,0.9985,1.00
4.656106,0.0162,0.0455,0.9990,1.00
4.675280,0.0154,0.0467,1.0007,1.00
4.689887,0.0157,0.0470,1.0012,1.00
4.709146,0.0171,0.0431,1.0022,1.00
4.739164,0.0181,0.0406,1.0024,1.00
4.756311,0.0157,0.0433,1.0000,1.00
4.774988,0.0137,0.0423,0.9992,1.00
4.789956,0.0132,0.0426,0.9985,1.00
4.810114,0.0127,0.0443,0.9987,1.00
4.839704,0.0081,0.0485,1.0036,1.00
4.856154,0.0096,0.0497,1.0048,1.01
4.874956,0.0127,0.0492,1.0029,1.00
4.905845,0.0176,0.0494,1.0000,1.00
4.922168,0.0174,0.0497,1.0009,1.00
4.939778,0.0159,0.0485,1.0019,1.00
4.956316,0.0137,0.0465,1.0026,1.00
4.972451,0.0174,0.0455,1.0009,1.00
4.994504,0.0233,0.0455,0.9997,1.00
5.022063,0.0228,0.0475,1.0000,1.00
5.038553,0.0181,0.0450,0.9975,1.00
5.055268,0.0142,0.0404,0.9956,1.00
5.088289,0.0127,0.0406,1.0002,1.00
5.105410,0.0098,0.0443,1.0056,1.01
5.121792,0.0086,0.0445,1.0053,1.01
5.138346,0.0096,0.0426,1.0041,1.01
5.155421,0.0135,0.0419,1.0014,1.00
5.190799,0.0193,0.0436,0.9990,1.00
5.204500,0.0213,0.0448,0.9987,1.00
5.221392,0.0213,0.0455,0.9970,1.00
5.237752,0.0189,0.0467,0.9968,1.00
5.271987,0.0189,0.0482,0.9992,1.00
5.287935,0.0211,0.0475,1.0012,1.00
5.304367,0.0186,0.0460,1.0009,1.00
5.321075,0.0154,0.0445,1.0014,1.00
5.337894,0.0142,0.0453,1.0019,1.00
5.372242,0.0127,0.0477,0.9997,1.00
5.387697,0.0127,0.0460,1.0004,1.00
5.404277,0.0132,0.0443,1.0004,1.00
5.421041,0.0147,0.0426,1.0009,1.00
5.438987,0.0147,0.0414,1.0012,1.00
5.471955,0.0152,0.0426,1.0017,1.00
5.487392,0.0176,0.0419,1.0024,1.00
5.504002,0.0206,0.0411,1.0017,1.00
5.521005,0.0218,0.0411,1.0009,1.00
5.540078,0.0196,0.0414,1.0004,1.00
5.572189,0.0159,0.0416,0.9997,1.00
